t_rel	session_idx	ms	outcome
0.033	19	109.71	ok
0.05	31	92.47	ok
0.048	28	94.96	ok
0.036	20	107.39	ok
0.048	29	94.94	ok
0.004	3	173.93	ok
0.051	32	127.25	ok
0.005	4	173.73	ok
0.003	1	175.08	ok
0.026	17	152.18	ok
0.021	15	162.19	ok
0.025	16	158.53	ok
0.03	18	154.43	ok
0.052	33	132.61	ok
0.053	34	132.07	ok
0.004	2	186.49	ok
0.002	0	188.4	ok
0.054	35	141.59	ok
0.041	22	153.94	ok
0.006	6	191.27	ok
0.054	36	144.02	ok
0.038	21	161.3	ok
0.049	30	159.85	ok
0.045	24	170.67	ok
0.011	10	206.08	ok
0.054	37	165.65	ok
0.005	5	215.17	ok
0.016	14	205.55	ok
0.043	23	207.43	ok
0.008	9	249.84	ok
0.056	40	214.26	ok
0.007	8	263.5	ok
0.055	38	215.87	ok
0.012	11	259.08	ok
0.014	12	257.68	ok
0.006	7	270.86	ok
0.047	26	231.8	ok
0.046	25	240.36	ok
0.056	39	232.25	ok
0.057	42	231.21	ok
0.058	43	231.1	ok
0.015	13	274.11	ok
0.048	27	252.45	ok
0.057	41	243.58	ok
0.058	44	244.12	ok
0.059	47	260.38	ok
0.059	48	260.41	ok
0.058	46	261.48	ok
0.06	50	264.89	ok
0.058	45	266.44	ok
0.059	49	277.71	ok
0.06	52	280.41	ok
0.061	54	281.0	ok
0.06	53	281.91	ok
0.06	51	282.71	ok
0.062	56	281.17	ok
0.061	55	281.85	ok
0.062	58	281.01	ok
0.062	57	281.56	ok
0.137	155	211.49	ok
0.063	59	287.24	ok
0.137	149	213.36	ok
0.137	148	215.04	ok
0.063	60	290.07	ok
0.134	136	243.59	ok
0.134	132	244.31	ok
0.067	78	342.34	ok
0.134	133	276.46	ok
0.067	77	343.31	ok
0.072	81	348.45	ok
0.071	79	349.61	ok
0.137	152	287.24	ok
0.067	73	357.97	ok
0.065	68	360.6	ok
0.078	92	347.76	ok
0.133	127	293.03	ok
0.071	80	357.35	ok
0.064	62	365.47	ok
0.064	66	374.14	ok
0.132	120	307.51	ok
0.131	118	310.93	ok
0.131	115	311.6	ok
0.131	114	314.09	ok
0.131	116	313.88	ok
0.065	67	380.36	ok
0.073	84	377.13	ok
0.138	156	313.75	ok
0.11	108	343.13	ok
0.075	86	378.91	ok
0.137	153	316.74	ok
0.076	89	391.14	ok
0.074	85	395.91	ok
0.076	88	399.21	ok
0.135	140	340.38	ok
0.133	125	363.64	ok
0.137	147	360.27	ok
0.132	123	364.76	ok
0.067	75	439.03	ok
0.064	63	451.94	ok
0.075	87	441.62	ok
0.136	145	388.49	ok
0.065	69	460.22	ok
0.066	72	466.35	ok
0.132	121	403.43	ok
0.078	93	457.35	ok
0.083	100	453.02	ok
0.138	158	401.42	ok
0.133	126	409.5	ok
0.131	119	411.46	ok
0.063	61	480.06	ok
0.084	101	459.99	ok
0.094	104	455.06	ok
0.093	103	466.86	ok
0.131	117	429.64	ok
0.067	74	497.33	ok
0.135	139	431.2	ok
0.133	129	436.3	ok
0.138	159	434.37	ok
0.109	107	463.53	ok
0.133	130	443.08	ok
0.134	137	445.25	ok
0.066	71	520.05	ok
0.136	142	450.92	ok
0.064	65	523.98	ok
0.083	99	520.43	ok
0.082	98	537.71	ok
0.067	76	556.97	ok
0.133	124	491.79	ok
0.137	150	497.54	ok
0.134	134	525.76	ok
0.133	128	526.82	ok
0.064	64	596.24	ok
0.072	82	593.08	ok
0.079	94	586.06	ok
0.073	83	593.67	ok
0.134	131	532.85	ok
0.138	157	529.19	ok
0.08	95	588.9	ok
0.077	90	592.37	ok
0.136	146	533.39	ok
0.134	135	536.01	ok
0.078	91	596.83	ok
0.135	141	543.72	ok
0.137	154	542.3	ok
0.137	151	543.2	ok
0.336	0	350.26	ok
0.136	143	550.63	ok
0.338	2	351.47	ok
0.339	4	356.04	ok
0.337	1	357.92	ok
0.338	3	358.27	ok
0.342	9	359.46	ok
0.34	6	367.19	ok
0.341	7	368.75	ok
0.134	138	582.87	ok
0.346	11	372.3	ok
0.341	8	376.82	ok
0.347	12	378.65	ok
0.348	13	393.68	ok
0.339	5	403.71	ok
0.351	10	395.08	ok
0.364	18	383.29	ok
0.357	15	389.89	ok
0.349	14	398.2	ok
0.358	16	390.16	ok
0.363	17	402.11	ok
0.369	20	396.6	ok
0.366	19	400.22	ok
