t_rel	session_idx	ms	outcome
0.04	15	97.12	ok
0.007	5	131.13	ok
0.005	4	132.52	ok
0.005	3	133.25	ok
0.011	9	127.62	ok
0.003	0	135.74	ok
0.004	2	138.96	ok
0.009	7	142.6	ok
0.03	13	122.0	ok
0.004	1	148.41	ok
0.042	16	113.49	ok
0.008	6	149.07	ok
0.015	11	142.91	ok
0.009	8	182.5	ok
0.043	18	149.37	ok
0.017	12	184.57	ok
0.042	17	159.39	ok
0.013	10	193.64	ok
0.032	14	176.33	ok
0.043	19	173.09	ok
0.044	20	178.26	ok
0.045	23	179.39	ok
0.045	21	186.24	ok
0.046	26	204.98	ok
0.045	22	206.57	ok
0.046	25	213.92	ok
0.046	27	213.76	ok
0.046	24	214.63	ok
0.047	31	214.37	ok
0.046	28	218.34	ok
0.047	32	219.84	ok
0.048	35	225.38	ok
0.048	34	225.8	ok
0.047	29	227.21	ok
0.048	36	225.66	ok
0.048	33	226.4	ok
0.047	30	227.57	ok
0.049	38	227.64	ok
0.05	42	230.46	ok
0.049	40	238.5	ok
0.05	41	238.43	ok
0.048	37	240.46	ok
0.049	39	242.33	ok
0.05	43	262.26	ok
0.051	44	263.9	ok
0.053	49	268.93	ok
0.052	46	270.05	ok
0.051	45	270.53	ok
0.053	50	279.1	ok
0.054	55	278.1	ok
0.053	52	279.14	ok
0.054	53	278.94	ok
0.052	47	281.05	ok
0.053	51	279.8	ok
0.052	48	281.04	ok
0.054	54	283.29	ok
0.055	56	292.63	ok
0.055	58	291.96	ok
0.092	153	257.6	ok
0.056	59	296.92	ok
0.056	60	303.57	ok
0.092	149	285.92	ok
0.092	152	285.68	ok
0.082	120	303.61	ok
0.055	57	337.17	ok
0.07	93	334.46	ok
0.098	159	310.1	ok
0.081	118	327.04	ok
0.093	154	315.86	ok
0.077	106	348.89	ok
0.081	117	344.71	ok
0.089	132	337.81	ok
0.088	130	339.3	ok
0.069	88	360.13	ok
0.07	92	359.45	ok
0.061	74	376.97	ok
0.09	140	350.1	ok
0.079	112	364.17	ok
0.078	108	365.49	ok
0.067	83	377.33	ok
0.091	148	356.76	ok
0.073	101	378.82	ok
0.061	73	397.36	ok
0.069	89	389.45	ok
0.093	156	365.86	ok
0.092	151	367.47	ok
0.089	136	376.11	ok
0.09	138	375.99	ok
0.068	87	401.68	ok
0.087	126	387.82	ok
0.091	145	392.51	ok
0.083	124	402.19	ok
0.091	144	401.97	ok
0.091	146	407.34	ok
0.091	147	407.84	ok
0.089	133	417.14	ok
0.091	141	434.04	ok
0.089	131	454.3	ok
0.091	142	462.78	ok
0.093	157	460.84	ok
0.072	99	482.14	ok
0.06	72	494.68	ok
0.088	127	467.56	ok
0.081	115	477.0	ok
0.092	150	466.41	ok
0.078	109	484.19	ok
0.074	103	489.1	ok
0.072	100	491.01	ok
0.089	134	479.42	ok
0.083	125	485.75	ok
0.081	119	487.64	ok
0.089	135	482.39	ok
0.067	84	504.67	ok
0.069	90	504.21	ok
0.079	111	497.49	ok
0.071	98	506.39	ok
0.057	61	521.8	ok
0.079	110	506.34	ok
0.091	143	494.65	ok
0.09	139	495.64	ok
0.081	114	505.84	ok
0.057	62	536.42	ok
0.07	91	524.58	ok
0.081	116	517.15	ok
0.088	129	526.81	ok
0.088	128	529.1	ok
0.071	95	550.67	ok
0.082	123	541.57	ok
0.093	155	532.06	ok
0.09	137	535.56	ok
0.082	121	547.93	ok
0.08	113	563.43	ok
0.336	0	313.11	ok
0.338	2	313.36	ok
0.082	122	575.94	ok
0.071	97	592.22	ok
0.338	3	327.56	ok
0.07	94	596.22	ok
0.076	105	591.67	ok
0.078	107	590.82	ok
0.337	1	332.26	ok
0.071	96	605.92	ok
0.339	4	338.44	ok
0.067	82	616.9	ok
0.062	78	623.03	ok
0.059	66	626.52	ok
0.066	80	619.37	ok
0.059	67	641.28	ok
0.073	102	627.74	ok
0.058	64	642.99	ok
0.058	65	643.43	ok
0.066	81	637.3	ok
0.06	71	644.16	ok
0.059	69	650.11	ok
0.068	85	643.78	ok
0.059	68	654.69	ok
0.068	86	659.2	ok
0.061	75	666.73	ok
0.341	6	392.63	ok
0.058	63	679.28	ok
0.341	5	397.5	ok
0.06	70	680.74	ok
0.062	77	681.81	ok
0.061	76	682.43	ok
0.342	7	405.67	ok
0.344	9	410.82	ok
0.347	10	413.7	ok
0.348	11	415.19	ok
0.097	158	666.54	ok
0.35	12	423.68	ok
0.348	8	427.23	ok
0.363	13	415.4	ok
0.074	104	706.58	ok
0.366	14	421.57	ok
0.374	15	414.92	ok
0.376	18	413.11	ok
0.378	20	412.32	ok
0.376	17	415.39	ok
0.379	22	415.33	ok
0.379	16	415.33	ok
0.377	19	417.83	ok
0.062	79	735.46	ok
0.38	23	418.09	ok
0.381	32	421.53	ok
0.381	29	422.32	ok
0.379	24	425.71	ok
0.38	30	429.98	ok
0.379	21	433.79	ok
0.381	35	444.33	ok
0.383	33	444.17	ok
0.382	37	445.25	ok
0.382	36	446.14	ok
0.385	45	453.89	ok
0.385	40	453.82	ok
0.384	28	456.19	ok
0.384	41	456.25	ok
0.387	51	465.42	ok
0.388	50	475.74	ok
0.386	39	481.04	ok
0.386	38	482.16	ok
0.387	48	481.29	ok
0.384	43	489.2	ok
0.385	42	489.32	ok
0.382	31	492.18	ok
0.389	46	487.04	ok
0.38	25	496.37	ok
0.39	60	494.44	ok
