DIGEST_TEXT	COUNT_STAR	sum_s	SUM_ROWS_EXAMINED
INSERT INTO `outbox_events` ( `aggregate_id` , `aggregate_type` , `correlation_id` , `created_at` , `event_type` , `lock_expires_at` , `locked_by` , `next_retry_at` , `payload` , `retry_count` , `sent_at` , STATUS ) VALUES (...)	1120	0.197979564	0
SELECT `s1_0` . `id` FROM `exercise_sessions` `s1_0` LEFT JOIN `users` `m1_0` ON `m1_0` . `id` = `s1_0` . `member_id` WHERE `m1_0` . `id` = ? AND `s1_0` . `status` = ? LIMIT ?	1120	0.192509804	0
INSERT INTO `daily_logs` ( `member_id` , `log_date` , `total_exercise_time` , `total_calories` ) VALUES (...) ON DUPLICATE KEY UPDATE `total_exercise_time` = `total_exercise_time` + VALUES ( `total_exercise_time` ) , `total_calories` = `total_calories` + VALUES ( `total_calories` )	163	0.191189354	0
UPDATE `outbox_events` `oe1_0` SET STATUS = ? , `locked_by` = ? , `lock_expires_at` = ? WHERE `oe1_0` . `id` = ? AND `oe1_0` . `locked_by` = ? AND `oe1_0` . `status` = ?	957	0.190077673	957
SELECT COALESCE ( MAX ( `pd1_0` . `timestamp_sec` ) , ? ) FROM `pose_data` `pd1_0` WHERE `pd1_0` . `session_id` = ? AND `pd1_0` . `created_at` = ?	1119	0.169454081	0
SELECT * FROM `outbox_events` WHERE STATUS = ? AND `lock_expires_at` <= ? ORDER BY `id` LIMIT ? FOR UPDATE SKIP LOCKED	495	0.164094633	0
SELECT @@SESSION . `transaction_read_only`	2626	0.159889428	2627
ALTER TABLE `pose_data` ADD UNIQUE KEY `uk_pose_event` ( `session_id` , `rep_number` , `timestamp_sec` , `created_at` )	1	0.138466928	0
SELECT `m1_0` . `id` , `m1_0` . `created_at` , `m1_0` . `email` , `m1_0` . `height` , `m1_0` . `onboarding_completed` , `m1_0` . `password` , `m1_0` . `preferred_url` , `m1_0` . `profile_image_url` , `m1_0` . `role` , `m1_0` . `selected_persona` , `m1_0` . `sex` , `m1_0` . `tts_enabled` , `m1_0` . `tts_speed` , `m1_0` . `updated_at` , `m1_0` . `username` , `m1_0` . `weight` , `m1_0` . `workout_level` FROM `users` `m1_0` WHERE `m1_0` . `id` = ? FOR UPDATE	1120	0.127737298	1120
SELECT * FROM `outbox_events` WHERE STATUS = ? AND ( `next_retry_at` IS NULL OR `next_retry_at` <= ? ) ORDER BY `id` LIMIT ? FOR UPDATE SKIP LOCKED	495	0.110783697	3549
