ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-09-13T15:49:55Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	cpu	17862409.7	iter/s	0.168	
2026-09-13T15:49:55Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	infer	58.49	fps	1.7098	0.10.21
