ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-09-13T15:48:07Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	cpu	17877170.3	iter/s	0.1678	
2026-09-13T15:48:07Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	infer	62.41	fps	1.6022	0.10.21
