t_rel	session_idx	ms	outcome
0.026	20	118.38	ok
0.055	28	89.22	ok
0.011	14	134.28	ok
0.004	5	141.35	ok
0.003	1	143.17	ok
0.056	29	92.33	ok
0.026	19	122.91	ok
0.031	21	122.29	ok
0.034	22	122.0	ok
0.004	4	152.66	ok
0.021	17	143.0	ok
0.054	26	110.43	ok
0.002	0	164.01	ok
0.055	27	130.6	ok
0.057	30	138.1	ok
0.016	16	181.61	ok
0.058	31	139.51	ok
0.058	32	150.49	ok
0.06	35	151.04	ok
0.041	23	169.78	ok
0.059	33	152.04	ok
0.003	2	210.91	ok
0.015	15	199.28	ok
0.059	34	157.16	ok
0.061	36	162.22	ok
0.009	11	215.6	ok
0.009	12	215.68	ok
0.049	24	176.5	ok
0.004	3	221.59	ok
0.006	7	221.61	ok
0.005	6	222.7	ok
0.061	37	172.22	ok
0.052	25	183.17	ok
0.008	10	231.53	ok
0.062	38	177.7	ok
0.007	9	232.48	ok
0.01	13	268.78	ok
0.025	18	254.01	ok
0.063	40	231.33	ok
0.064	43	231.16	ok
0.064	44	233.63	ok
0.006	8	291.78	ok
0.063	39	235.38	ok
0.065	46	233.63	ok
0.064	42	234.57	ok
0.066	50	232.6	ok
0.064	41	235.24	ok
0.065	45	234.54	ok
0.065	48	234.0	ok
0.067	53	232.42	ok
0.066	49	233.86	ok
0.067	54	233.52	ok
0.065	47	236.06	ok
0.068	55	237.34	ok
0.068	57	237.06	ok
0.067	52	239.84	ok
0.066	51	240.26	ok
0.068	56	246.28	ok
0.069	58	247.66	ok
0.069	59	248.11	ok
0.07	61	262.57	ok
0.124	134	258.79	ok
0.074	79	315.42	ok
0.069	60	321.98	ok
0.07	62	321.54	ok
0.076	85	315.8	ok
0.078	92	313.5	ok
0.128	151	263.98	ok
0.095	114	296.49	ok
0.096	118	295.91	ok
0.129	157	263.57	ok
0.126	141	274.4	ok
0.084	106	316.81	ok
0.082	101	320.58	ok
0.129	159	273.34	ok
0.124	136	280.68	ok
0.076	88	330.5	ok
0.076	86	333.76	ok
0.128	152	285.78	ok
0.072	72	341.76	ok
0.129	156	286.49	ok
0.077	89	338.77	ok
0.071	68	344.51	ok
0.115	124	301.84	ok
0.074	80	344.62	ok
0.127	149	339.78	ok
0.127	150	339.89	ok
0.078	90	390.02	ok
0.078	91	390.11	ok
0.079	97	388.8	ok
0.122	131	348.17	ok
0.075	83	399.01	ok
0.095	113	379.35	ok
0.124	135	350.85	ok
