t_rel	session_idx	ms	outcome
0.009	7	128.54	ok
0.023	13	115.04	ok
0.002	0	135.93	ok
0.027	14	111.56	ok
0.028	15	110.94	ok
0.003	1	136.94	ok
0.021	12	118.36	ok
0.003	2	136.76	ok
0.016	10	126.29	ok
0.005	4	144.71	ok
0.03	16	119.64	ok
0.013	9	136.81	ok
0.012	8	147.07	ok
0.04	20	131.75	ok
0.004	3	169.06	ok
0.009	6	190.91	ok
0.043	21	156.51	ok
0.021	11	193.47	ok
0.045	25	169.29	ok
0.034	19	180.4	ok
0.008	5	207.38	ok
0.033	17	182.48	ok
0.033	18	184.12	ok
0.044	23	184.11	ok
0.044	22	184.9	ok
0.048	30	183.53	ok
0.045	24	186.54	ok
0.046	27	185.8	ok
0.046	26	193.08	ok
0.046	28	192.56	ok
0.049	33	193.95	ok
0.047	29	198.43	ok
0.048	31	196.88	ok
0.049	34	204.34	ok
0.049	32	205.68	ok
0.05	37	204.59	ok
0.05	39	205.32	ok
0.05	35	209.25	ok
0.05	38	213.56	ok
0.05	40	213.36	ok
0.051	41	215.53	ok
0.051	42	216.1	ok
0.052	45	215.34	ok
0.05	36	220.95	ok
0.051	43	234.03	ok
0.053	46	235.03	ok
0.051	44	238.64	ok
0.053	47	262.86	ok
0.056	56	269.82	ok
0.055	52	271.06	ok
0.056	55	270.41	ok
0.054	48	272.54	ok
0.055	53	271.15	ok
0.054	49	272.47	ok
0.054	50	272.27	ok
0.057	59	273.86	ok
0.055	54	285.66	ok
0.057	58	291.74	ok
0.089	136	259.64	ok
0.056	57	292.38	ok
0.055	51	294.19	ok
0.083	114	271.37	ok
0.091	153	265.59	ok
0.074	101	287.35	ok
0.057	60	304.44	ok
0.063	82	299.05	ok
0.09	142	272.45	ok
0.091	151	273.47	ok
0.057	61	307.35	ok
0.09	141	275.32	ok
0.092	157	276.85	ok
0.083	113	286.81	ok
0.088	131	284.25	ok
0.091	149	281.83	ok
0.093	159	300.51	ok
0.09	147	304.16	ok
0.092	155	308.03	ok
0.071	98	334.25	ok
0.083	112	322.91	ok
0.085	119	321.81	ok
0.081	108	332.44	ok
0.086	123	326.63	ok
0.091	150	323.39	ok
0.093	158	328.52	ok
0.061	76	360.15	ok
0.068	96	357.23	ok
0.087	124	339.05	ok
0.089	139	340.03	ok
0.089	135	340.98	ok
0.063	83	368.93	ok
0.085	120	518.66	ok
0.063	81	541.82	ok
0.083	115	521.8	ok
0.09	145	521.13	ok
0.083	116	528.06	ok
0.086	121	525.8	ok
0.089	137	523.13	ok
0.087	128	524.92	ok
0.088	130	524.83	ok
0.088	133	524.69	ok
0.058	63	555.53	ok
0.062	79	551.91	ok
0.081	110	532.77	ok
0.087	126	527.9	ok
0.087	127	530.81	ok
0.091	148	528.0	ok
0.09	143	529.06	ok
0.077	103	541.83	ok
0.058	62	561.97	ok
0.089	134	531.33	ok
0.067	94	553.28	ok
0.091	152	529.29	ok
0.088	132	532.57	ok
0.082	111	538.91	ok
0.059	68	562.63	ok
0.086	122	535.58	ok
0.058	66	563.74	ok
0.089	138	533.4	ok
0.09	146	532.58	ok
0.061	75	562.05	ok
0.075	102	548.95	ok
0.063	84	560.54	ok
0.064	87	560.48	ok
0.061	74	564.04	ok
0.066	90	559.36	ok
0.09	144	535.88	ok
0.088	129	586.8	ok
0.058	64	626.42	ok
0.062	80	622.6	ok
0.064	86	645.56	ok
0.092	156	617.65	ok
0.058	65	651.65	ok
0.063	85	647.05	ok
0.081	109	633.95	ok
0.087	125	631.37	ok
0.079	106	640.93	ok
0.061	73	659.24	ok
0.067	95	653.22	ok
0.067	93	656.57	ok
0.068	97	655.72	ok
0.089	140	638.73	ok
0.062	78	668.0	ok
0.084	118	646.09	ok
0.08	107	650.74	ok
0.078	104	652.45	ok
0.066	91	665.72	ok
0.071	99	661.62	ok
0.061	72	674.02	ok
0.084	117	651.49	ok
0.061	71	674.93	ok
0.066	92	673.02	ok
0.071	100	669.5	ok
0.059	67	686.99	ok
0.064	88	681.72	ok
0.06	70	691.29	ok
0.336	0	417.48	ok
0.336	1	418.74	ok
0.061	77	693.86	ok
0.337	2	431.68	ok
0.065	89	704.13	ok
0.338	4	437.42	ok
0.079	105	697.64	ok
0.091	154	691.09	ok
0.337	3	445.69	ok
0.06	69	723.22	ok
0.341	5	443.31	ok
0.343	7	444.55	ok
0.345	8	445.22	ok
0.354	11	443.71	ok
0.35	10	452.68	ok
0.346	9	456.69	ok
0.355	12	448.38	ok
0.356	13	448.57	ok
0.342	6	463.32	ok
0.362	15	445.33	ok
0.361	14	450.53	ok
0.363	16	447.96	ok
0.366	17	447.12	ok
0.374	20	441.59	ok
0.368	19	449.09	ok
0.367	18	451.65	ok
0.378	24	445.5	ok
0.378	23	446.45	ok
0.377	21	450.81	ok
0.379	26	453.29	ok
0.379	25	453.96	ok
0.379	27	464.6	ok
0.38	28	464.94	ok
0.38	29	464.82	ok
0.381	30	470.86	ok
0.38	22	473.41	ok
0.382	31	472.61	ok
0.383	34	476.91	ok
0.382	33	477.52	ok
0.382	32	478.12	ok
0.383	35	478.11	ok
0.383	36	478.75	ok
0.384	41	478.07	ok
0.383	37	484.34	ok
0.383	38	484.45	ok
0.384	40	494.02	ok
0.384	42	493.82	ok
0.385	45	500.68	ok
0.387	48	499.4	ok
0.385	43	503.68	ok
0.385	44	504.25	ok
0.388	51	507.9	ok
0.387	47	509.55	ok
0.387	49	513.29	ok
0.388	52	512.63	ok
0.385	39	520.1	ok
0.388	50	517.65	ok
0.387	46	526.45	ok
0.389	53	526.35	ok
0.389	54	528.73	ok
0.389	55	531.9	ok
0.39	58	533.21	ok
0.389	56	537.32	ok
0.39	57	537.36	ok
0.391	61	540.08	ok
0.396	82	539.68	ok
0.39	59	547.31	ok
0.414	108	529.15	ok
0.405	98	538.31	ok
0.395	60	550.93	ok
0.417	114	533.67	ok
0.416	113	535.15	ok
0.418	119	533.7	ok
0.416	112	536.0	ok
0.42	123	532.43	ok
0.407	101	545.36	ok
0.422	131	532.86	ok
0.422	136	535.01	ok
0.423	142	537.75	ok
0.421	76	541.14	ok
0.424	147	539.19	ok
0.425	96	543.04	ok
0.424	150	546.21	ok
0.425	155	551.33	ok
0.423	141	553.96	ok
0.425	153	551.87	ok
0.426	124	551.69	ok
0.426	159	557.94	ok
0.425	151	560.77	ok
0.424	149	561.55	ok
0.426	158	561.15	ok
0.427	157	567.33	ok
0.432	83	562.18	ok
0.429	139	572.2	ok
0.604	120	399.27	ok
0.43	135	573.66	ok
0.605	115	398.93	ok
0.611	145	397.17	ok
0.604	81	407.42	ok
0.612	137	403.18	ok
0.612	121	403.79	ok
0.613	130	403.09	ok
0.614	63	408.24	ok
0.614	110	407.76	ok
0.612	116	410.99	ok
0.615	126	408.21	ok
0.612	128	413.48	ok
0.619	148	411.6	ok
0.613	133	417.55	ok
0.618	127	412.75	ok
0.614	79	417.46	ok
0.62	134	412.63	ok
0.62	62	418.59	ok
0.621	132	417.81	ok
0.623	146	419.15	ok
0.619	143	424.37	ok
0.62	94	427.13	ok
0.621	111	427.03	ok
0.622	68	427.19	ok
0.622	122	436.01	ok
0.622	66	436.19	ok
0.623	75	435.71	ok
0.619	103	440.18	ok
0.621	152	440.8	ok
0.625	74	438.5	ok
0.624	84	441.77	ok
0.624	87	441.54	ok
0.685	80	390.12	ok
0.625	90	450.0	ok
0.623	138	453.29	ok
0.624	102	452.66	ok
0.675	129	407.94	ok
0.626	144	457.48	ok
0.709	86	380.79	ok
0.71	156	380.83	ok
0.685	64	406.25	ok
0.711	85	380.4	ok
0.71	65	382.1	ok
0.715	109	383.38	ok
0.718	125	380.25	ok
0.72	106	379.1	ok
0.72	73	383.92	ok
0.724	97	382.38	ok
0.723	93	386.38	ok
0.721	95	389.59	ok
0.73	78	385.7	ok
0.73	107	391.43	ok
0.728	140	393.84	ok
0.731	104	391.83	ok
0.73	118	443.07	ok
0.732	91	441.97	ok
0.735	72	440.4	ok
0.74	92	450.14	ok
0.735	117	454.9	ok
0.741	100	449.66	ok
0.736	71	455.41	ok
0.733	99	458.6	ok
0.746	67	458.49	ok
0.752	70	455.11	ok
0.746	88	462.98	ok
0.755	1	456.21	ok
