t_rel	session_idx	ms	outcome
0.013	11	128.98	ok
0.012	10	130.94	ok
0.007	6	141.7	ok
0.019	14	129.57	ok
0.002	0	146.66	ok
0.005	4	144.16	ok
0.008	7	144.98	ok
0.003	1	159.53	ok
0.047	22	117.94	ok
0.044	19	124.76	ok
0.006	5	163.25	ok
0.046	20	123.79	ok
0.046	21	129.04	ok
0.004	3	174.78	ok
0.047	23	131.94	ok
0.004	2	176.92	ok
0.024	15	157.02	ok
0.049	25	134.8	ok
0.014	12	169.81	ok
0.016	13	167.88	ok
0.049	24	135.82	ok
0.009	8	187.98	ok
0.028	16	171.22	ok
0.05	26	150.03	ok
0.011	9	192.63	ok
0.044	18	174.34	ok
0.05	27	174.91	ok
0.052	31	174.83	ok
0.051	29	175.6	ok
0.051	28	183.17	ok
0.042	17	192.47	ok
0.052	30	187.36	ok
0.052	32	188.42	ok
0.052	33	191.21	ok
0.053	34	191.31	ok
0.053	35	194.69	ok
0.054	39	202.86	ok
0.053	38	203.26	ok
0.053	37	203.68	ok
0.054	40	206.71	ok
0.054	41	209.44	ok
0.054	43	215.54	ok
0.053	36	217.24	ok
0.054	42	226.92	ok
0.056	47	225.97	ok
0.055	45	229.25	ok
0.055	44	229.68	ok
0.055	46	229.37	ok
0.056	49	232.33	ok
0.056	48	246.41	ok
0.057	51	247.25	ok
0.058	54	251.41	ok
0.057	52	256.27	ok
0.059	56	254.69	ok
0.06	58	254.0	ok
0.056	50	258.44	ok
0.058	55	258.71	ok
0.057	53	259.42	ok
0.059	57	257.46	ok
0.06	60	269.08	ok
0.06	59	270.97	ok
0.081	151	249.89	ok
0.068	99	263.79	ok
0.078	130	259.5	ok
0.077	126	279.85	ok
0.068	102	290.08	ok
0.077	125	281.93	ok
0.064	81	295.04	ok
0.061	61	302.95	ok
0.071	112	296.37	ok
0.069	105	298.66	ok
0.076	123	291.06	ok
0.082	156	293.29	ok
0.078	131	297.81	ok
0.069	106	307.16	ok
0.075	121	305.4	ok
0.082	154	299.38	ok
0.067	98	314.08	ok
0.072	113	310.03	ok
0.066	91	317.75	ok
0.079	136	306.85	ok
0.078	135	337.18	ok
0.063	77	367.89	ok
0.066	90	366.08	ok
0.082	155	350.31	ok
0.081	150	351.19	ok
0.083	158	349.45	ok
0.069	108	363.71	ok
0.084	159	349.75	ok
0.064	79	370.11	ok
0.063	74	371.66	ok
0.079	138	355.53	ok
0.068	100	367.75	ok
0.07	110	371.64	ok
0.062	69	380.24	ok
0.081	152	361.51	ok
0.075	120	368.45	ok
0.082	157	366.39	ok
0.065	89	385.35	ok
0.077	124	383.0	ok
0.065	84	395.71	ok
0.081	148	391.17	ok
0.066	92	406.7	ok
0.064	80	411.62	ok
0.081	149	399.77	ok
0.063	72	428.28	ok
0.076	122	415.79	ok
0.066	94	425.39	ok
0.08	141	414.63	ok
0.062	71	432.51	ok
0.068	101	427.41	ok
0.062	70	433.69	ok
0.078	132	427.07	ok
0.078	129	427.85	ok
0.064	82	441.57	ok
0.077	128	435.8	ok
0.08	140	436.69	ok
0.063	76	470.25	ok
0.082	153	452.57	ok
0.064	78	499.73	ok
0.065	86	567.91	ok
0.063	75	573.58	ok
0.081	146	556.12	ok
0.073	115	564.31	ok
0.08	143	557.1	ok
0.072	114	565.05	ok
0.073	117	565.02	ok
0.064	83	578.32	ok
0.075	119	568.62	ok
0.069	107	577.96	ok
0.073	118	573.87	ok
0.065	85	583.31	ok
0.337	1	311.44	ok
0.338	3	310.68	ok
0.069	104	580.06	ok
0.078	133	570.87	ok
0.081	147	568.52	ok
0.078	134	571.37	ok
0.079	137	571.03	ok
0.071	111	579.81	ok
0.063	73	588.15	ok
0.34	6	310.87	ok
0.338	4	312.9	ok
0.065	88	586.32	ok
0.08	144	571.62	ok
0.336	0	316.5	ok
0.077	127	575.17	ok
0.073	116	579.84	ok
0.08	139	573.38	ok
0.337	2	315.96	ok
0.065	87	588.59	ok
0.341	7	313.04	ok
0.07	109	584.45	ok
0.08	142	575.12	ok
0.066	93	589.36	ok
0.061	65	634.11	ok
0.067	96	639.11	ok
0.061	62	645.5	ok
0.08	145	628.36	ok
0.344	9	370.74	ok
0.345	10	369.99	ok
0.343	8	379.29	ok
0.067	97	655.41	ok
0.061	64	666.52	ok
0.067	95	662.68	ok
0.062	67	667.83	ok
0.068	103	670.96	ok
0.346	11	393.52	ok
0.062	68	678.29	ok
0.062	66	678.99	ok
0.342	5	399.55	ok
0.348	12	395.66	ok
0.061	63	682.62	ok
0.364	16	382.74	ok
0.353	14	395.5	ok
0.376	17	372.63	ok
0.35	13	398.85	ok
0.358	15	391.5	ok
0.377	18	379.67	ok
0.378	19	379.17	ok
0.38	21	382.33	ok
0.381	23	382.37	ok
0.383	26	380.27	ok
0.379	20	385.52	ok
0.38	22	384.71	ok
0.384	27	384.42	ok
0.382	24	387.9	ok
0.385	29	389.98	ok
0.385	25	390.0	ok
0.384	28	391.07	ok
0.386	32	390.35	ok
0.386	33	392.43	ok
0.386	34	393.0	ok
0.386	31	398.96	ok
0.385	30	400.59	ok
0.387	37	399.56	ok
