t_rel	session_idx	ms	outcome
0.019	15	132.61	ok
0.021	16	139.47	ok
0.013	10	150.48	ok
0.005	4	159.41	ok
0.051	28	115.24	ok
0.01	7	159.28	ok
0.028	18	141.42	ok
0.03	19	139.87	ok
0.026	17	144.74	ok
0.011	8	159.47	ok
0.005	5	165.65	ok
0.046	23	124.91	ok
0.003	1	168.11	ok
0.004	3	168.69	ok
0.004	2	175.56	ok
0.013	11	166.86	ok
0.016	13	164.16	ok
0.038	20	142.15	ok
0.049	27	131.26	ok
0.054	30	138.07	ok
0.042	21	150.37	ok
0.015	12	182.67	ok
0.052	29	150.53	ok
0.055	31	155.79	ok
0.006	6	215.62	ok
0.012	9	213.73	ok
0.048	25	184.96	ok
0.048	26	185.09	ok
0.002	0	235.07	ok
0.018	14	219.84	ok
0.044	22	193.44	ok
0.047	24	195.7	ok
0.058	37	187.46	ok
0.056	32	189.73	ok
0.058	36	205.6	ok
0.057	35	206.04	ok
0.057	34	207.49	ok
0.059	39	207.5	ok
0.057	33	211.57	ok
0.059	42	209.3	ok
0.059	40	212.78	ok
0.059	43	214.86	ok
0.059	41	215.62	ok
0.061	47	218.48	ok
0.06	45	219.15	ok
0.06	44	219.83	ok
0.058	38	221.49	ok
0.061	48	222.13	ok
0.061	46	228.76	ok
0.062	50	234.71	ok
0.061	49	235.42	ok
0.066	54	231.98	ok
0.066	55	231.46	ok
0.062	51	235.75	ok
0.062	52	237.0	ok
0.067	57	242.35	ok
0.067	56	246.49	ok
0.071	59	247.36	ok
0.063	53	261.96	ok
0.126	155	212.93	ok
0.07	58	268.64	ok
0.108	124	232.56	ok
0.108	122	233.43	ok
0.071	60	270.57	ok
0.117	132	247.01	ok
0.125	151	253.34	ok
0.126	157	271.3	ok
0.122	137	276.12	ok
0.081	73	316.54	ok
0.086	76	312.15	ok
0.126	158	274.48	ok
0.125	152	275.85	ok
0.123	142	277.96	ok
0.078	72	322.67	ok
0.126	156	279.02	ok
0.122	138	287.8	ok
0.109	126	301.34	ok
0.123	144	286.63	ok
0.108	125	301.65	ok
0.124	149	286.93	ok
0.108	121	307.45	ok
0.126	159	294.25	ok
0.109	129	313.72	ok
0.107	116	316.39	ok
0.1	82	326.01	ok
0.114	130	315.59	ok
0.105	106	339.72	ok
0.124	148	321.45	ok
0.116	131	329.97	ok
0.125	150	321.39	ok
0.107	115	339.29	ok
0.071	61	375.71	ok
0.123	143	324.0	ok
0.082	75	368.48	ok
0.125	154	347.2	ok
0.101	84	372.11	ok
0.077	67	411.9	ok
0.099	81	401.51	ok
0.107	117	394.13	ok
0.105	103	396.51	ok
0.107	119	394.96	ok
0.105	102	397.55	ok
0.106	112	397.57	ok
0.107	113	398.18	ok
0.106	111	399.92	ok
0.108	123	398.2	ok
0.123	141	383.75	ok
0.072	64	434.37	ok
0.107	114	403.82	ok
0.125	153	385.72	ok
0.104	98	406.82	ok
0.107	118	404.68	ok
0.104	94	409.31	ok
0.102	85	413.6	ok
0.122	140	396.9	ok
0.106	107	414.35	ok
0.099	80	424.27	ok
0.118	134	405.81	ok
0.105	100	421.25	ok
0.124	146	402.7	ok
0.098	78	431.14	ok
0.122	139	417.56	ok
0.076	65	466.49	ok
0.118	135	434.72	ok
0.109	127	444.69	ok
0.124	145	436.84	ok
0.109	128	452.32	ok
0.103	89	463.07	ok
0.103	90	463.35	ok
0.072	63	496.67	ok
0.103	91	465.83	ok
0.119	136	451.04	ok
0.103	87	474.93	ok
0.077	70	514.54	ok
0.105	104	491.86	ok
0.105	99	492.97	ok
0.086	77	511.9	ok
0.103	92	495.04	ok
0.105	101	494.09	ok
0.076	66	523.23	ok
0.106	109	502.27	ok
0.118	133	490.97	ok
0.105	105	503.74	ok
0.098	79	517.97	ok
0.082	74	544.81	ok
0.107	120	526.97	ok
0.104	93	531.2	ok
0.102	86	533.41	ok
0.106	110	530.22	ok
0.106	108	530.83	ok
0.338	3	301.51	ok
0.104	97	535.45	ok
0.101	83	541.59	ok
0.337	2	305.55	ok
0.104	95	540.29	ok
0.103	88	543.81	ok
0.104	96	544.76	ok
0.339	5	313.67	ok
0.124	147	528.79	ok
0.343	7	315.75	ok
0.336	0	325.55	ok
0.34	6	321.52	ok
0.345	9	316.19	ok
0.338	4	326.24	ok
0.341	1	326.54	ok
0.345	8	323.85	ok
0.349	12	327.15	ok
0.346	10	330.2	ok
0.35	13	327.33	ok
0.351	14	329.03	ok
0.348	11	332.59	ok
0.355	16	326.03	ok
0.36	17	323.37	ok
0.353	15	330.69	ok
0.361	18	322.55	ok
0.364	19	331.31	ok
0.077	69	637.02	ok
0.077	68	640.14	ok
0.375	21	342.64	ok
0.071	62	646.79	ok
0.38	23	338.85	ok
0.372	20	347.01	ok
0.078	71	641.36	ok
0.378	22	342.84	ok
0.382	25	342.33	ok
0.382	26	342.4	ok
0.383	27	341.66	ok
0.381	24	344.02	ok
0.384	28	342.19	ok
0.386	29	343.69	ok
0.388	31	341.91	ok
0.389	32	341.71	ok
0.387	30	345.54	ok
0.39	33	342.82	ok
0.39	34	345.32	ok
0.392	39	350.84	ok
0.391	37	351.7	ok
0.391	36	352.44	ok
0.391	35	355.05	ok
0.393	42	355.94	ok
0.392	38	357.31	ok
0.392	41	358.15	ok
0.392	40	359.33	ok
0.394	45	366.07	ok
0.393	43	371.68	ok
0.395	47	371.66	ok
0.394	44	373.38	ok
0.394	46	373.48	ok
0.395	50	374.38	ok
0.395	48	378.46	ok
0.396	49	378.64	ok
0.396	52	379.62	ok
0.396	51	387.63	ok
0.4	55	386.16	ok
0.399	54	387.25	ok
0.4	56	387.07	ok
0.396	53	390.99	ok
0.4	57	394.69	ok
0.404	60	393.74	ok
0.412	72	386.7	ok
0.406	59	393.74	ok
0.415	73	392.63	ok
0.407	58	405.0	ok
0.419	76	397.1	ok
0.433	82	385.57	ok
0.441	122	377.77	ok
