ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-09-13T15:38:17Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	cpu	18977415.7	iter/s	0.1581	
2026-09-13T15:38:17Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	infer	69.29	fps	1.4432	0.10.21
