ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-09-13T16:08:11Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	cpu	18389838.5	iter/s	0.1631	
2026-09-13T16:08:11Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	infer	56.46	fps	1.7713	0.10.21
