ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-09-13T15:59:52Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	cpu	16437170.5	iter/s	0.1825	
2026-09-13T15:59:52Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	infer	52.69	fps	1.8977	0.10.21
