block	arm	status	window_d	kind	rep	ms
1	A0	COMPLETED	7	count	4	239
1	A0	COMPLETED	7	list	5	277
1	A0	COMPLETED	7	count	5	246
1	A0	COMPLETED	30	list	1	276
1	A0	COMPLETED	30	count	1	250
1	A0	COMPLETED	30	list	2	276
1	A0	COMPLETED	30	count	2	245
1	A0	COMPLETED	30	list	3	281
1	A0	COMPLETED	30	count	3	252
1	A0	COMPLETED	30	list	4	277
1	A0	COMPLETED	30	count	4	239
1	A0	COMPLETED	30	list	5	288
1	A0	COMPLETED	30	count	5	248
1	A0	COMPLETED	0	list	1	319
1	A0	COMPLETED	0	count	1	233
1	A0	COMPLETED	0	list	2	322
1	A0	COMPLETED	0	count	2	241
1	A0	COMPLETED	0	list	3	319
1	A0	COMPLETED	0	count	3	244
1	A0	COMPLETED	0	list	4	321
1	A0	COMPLETED	0	count	4	232
1	A0	COMPLETED	0	list	5	323
1	A0	COMPLETED	0	count	5	238
1	A1	FAILED	1	list	1	1.35
1	A1	FAILED	1	count	1	3.82
1	A1	FAILED	1	list	2	1.34
1	A1	FAILED	1	count	2	4.04
1	A1	FAILED	1	list	3	1.39
1	A1	FAILED	1	count	3	3.82
1	A1	FAILED	1	list	4	1.34
1	A1	FAILED	1	count	4	3.81
1	A1	FAILED	1	list	5	1.36
1	A1	FAILED	1	count	5	3.9
1	A1	FAILED	7	list	1	4.73
1	A1	FAILED	7	count	1	24.9
1	A1	FAILED	7	list	2	4.77
1	A1	FAILED	7	count	2	24.8
1	A1	FAILED	7	list	3	4.68
1	A1	FAILED	7	count	3	24.6
1	A1	FAILED	7	list	4	4.73
1	A1	FAILED	7	count	4	24.8
1	A1	FAILED	7	list	5	4.72
1	A1	FAILED	7	count	5	25.4
1	A1	FAILED	30	list	1	4.69
1	A1	FAILED	30	count	1	104
1	A1	FAILED	30	list	2	4.7
1	A1	FAILED	30	count	2	99.3
1	A1	FAILED	30	list	3	4.74
1	A1	FAILED	30	count	3	99.4
1	A1	FAILED	30	list	4	4.69
1	A1	FAILED	30	count	4	100
1	A1	FAILED	30	list	5	4.74
1	A1	FAILED	30	count	5	100
1	A1	FAILED	0	list	1	1.35
1	A1	FAILED	0	count	1	167
1	A1	FAILED	0	list	2	1.36
1	A1	FAILED	0	count	2	162
1	A1	FAILED	0	list	3	1.19
1	A1	FAILED	0	count	3	166
1	A1	FAILED	0	list	4	1.18
1	A1	FAILED	0	count	4	167
1	A1	FAILED	0	list	5	1.18
1	A1	FAILED	0	count	5	163
1	A1	CANCELLED	1	list	1	0.526
1	A1	CANCELLED	1	count	1	3.88
1	A1	CANCELLED	1	list	2	0.524
1	A1	CANCELLED	1	count	2	3.82
1	A1	CANCELLED	1	list	3	0.509
1	A1	CANCELLED	1	count	3	3.9
1	A1	CANCELLED	1	list	4	0.508
1	A1	CANCELLED	1	count	4	3.84
1	A1	CANCELLED	1	list	5	0.501
1	A1	CANCELLED	1	count	5	3.83
1	A1	CANCELLED	7	list	1	4.62
1	A1	CANCELLED	7	count	1	25.2
1	A1	CANCELLED	7	list	2	4.66
1	A1	CANCELLED	7	count	2	25
1	A1	CANCELLED	7	list	3	4.63
1	A1	CANCELLED	7	count	3	25.4
1	A1	CANCELLED	7	list	4	4.65
1	A1	CANCELLED	7	count	4	24.7
1	A1	CANCELLED	7	list	5	4.68
1	A1	CANCELLED	7	count	5	25.4
1	A1	CANCELLED	30	list	1	4.7
1	A1	CANCELLED	30	count	1	101
1	A1	CANCELLED	30	list	2	4.64
1	A1	CANCELLED	30	count	2	102
1	A1	CANCELLED	30	list	3	4.63
1	A1	CANCELLED	30	count	3	102
1	A1	CANCELLED	30	list	4	4.68
1	A1	CANCELLED	30	count	4	103
1	A1	CANCELLED	30	list	5	4.67
1	A1	CANCELLED	30	count	5	101
1	A1	CANCELLED	0	list	1	0.455
1	A1	CANCELLED	0	count	1	182
1	A1	CANCELLED	0	list	2	0.456
1	A1	CANCELLED	0	count	2	183
1	A1	CANCELLED	0	list	3	0.464
1	A1	CANCELLED	0	count	3	178
1	A1	CANCELLED	0	list	4	0.459
1	A1	CANCELLED	0	count	4	182
1	A1	CANCELLED	0	list	5	0.451
1	A1	CANCELLED	0	count	5	178
1	A1	IN_PROGRESS	1	list	1	0.512
1	A1	IN_PROGRESS	1	count	1	3.9
1	A1	IN_PROGRESS	1	list	2	0.534
1	A1	IN_PROGRESS	1	count	2	3.85
1	A1	IN_PROGRESS	1	list	3	0.514
1	A1	IN_PROGRESS	1	count	3	3.86
1	A1	IN_PROGRESS	1	list	4	0.508
1	A1	IN_PROGRESS	1	count	4	3.86
1	A1	IN_PROGRESS	1	list	5	0.511
1	A1	IN_PROGRESS	1	count	5	3.95
1	A1	IN_PROGRESS	7	list	1	4.6
1	A1	IN_PROGRESS	7	count	1	25.7
1	A1	IN_PROGRESS	7	list	2	4.7
1	A1	IN_PROGRESS	7	count	2	24.9
1	A1	IN_PROGRESS	7	list	3	4.57
1	A1	IN_PROGRESS	7	count	3	25.4
1	A1	IN_PROGRESS	7	list	4	4.67
1	A1	IN_PROGRESS	7	count	4	24.9
1	A1	IN_PROGRESS	7	list	5	4.63
1	A1	IN_PROGRESS	7	count	5	25.5
1	A1	IN_PROGRESS	30	list	1	4.63
1	A1	IN_PROGRESS	30	count	1	103
1	A1	IN_PROGRESS	30	list	2	4.63
1	A1	IN_PROGRESS	30	count	2	102
1	A1	IN_PROGRESS	30	list	3	4.62
1	A1	IN_PROGRESS	30	count	3	105
1	A1	IN_PROGRESS	30	list	4	4.64
1	A1	IN_PROGRESS	30	count	4	103
1	A1	IN_PROGRESS	30	list	5	4.6
1	A1	IN_PROGRESS	30	count	5	102
1	A1	IN_PROGRESS	0	list	1	0.323
1	A1	IN_PROGRESS	0	count	1	196
1	A1	IN_PROGRESS	0	list	2	0.323
1	A1	IN_PROGRESS	0	count	2	187
1	A1	IN_PROGRESS	0	list	3	0.317
1	A1	IN_PROGRESS	0	count	3	187
