tag	pool	phase	epoch	source	metric	value
r1-p15	15	pre	1788532120	spring	hikaricp_connections_idle{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788532120	spring	hikaricp_connections_max{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788532120	spring	hikaricp_connections_min{pool="HikariPool-1"}	15.0
r1-p15	15	pre	1788532120	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788532120	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p15	15	pre	1788532120	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p15	15	pre	1788532120	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.016
r1-p15	15	pre	1788532120	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.012
r1-p15	15	pre	1788532120	mysql	Innodb_row_lock_time	0
r1-p15	15	pre	1788532120	mysql	Innodb_row_lock_waits	0
r1-p15	15	pre	1788532120	mysql	Threads_connected	16
r1-p15	15	pre	1788532120	mysql	Threads_running	2
r1-p15_post	15	post	1788532131	spring	hikaricp_connections{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15015
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	164.786714607
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.197944272
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_idle{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_max{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_min{pool="HikariPool-1"}	15.0
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15015
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	123.027
r1-p15_post	15	post	1788532131	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.167
r1-p15_post	15	post	1788532131	mysql	Innodb_row_lock_time	0
r1-p15_post	15	post	1788532131	mysql	Innodb_row_lock_waits	0
r1-p15_post	15	post	1788532131	mysql	Threads_connected	16
r1-p15_post	15	post	1788532131	mysql	Threads_running	2
r1-p17	17	pre	1788532150	spring	hikaricp_connections{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788532150	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p17	17	pre	1788532150	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	4.55456E-4
r1-p17	17	pre	1788532150	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	3.91184E-4
r1-p17	17	pre	1788532150	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788532150	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p17	17	pre	1788532150	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788532150	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788532150	spring	hikaricp_connections_idle{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788532150	spring	hikaricp_connections_max{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788532150	spring	hikaricp_connections_min{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788532150	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788532150	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788532150	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p17	17	pre	1788532150	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.016
r1-p17	17	pre	1788532150	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.012
r1-p17	17	pre	1788532150	mysql	Innodb_row_lock_time	0
r1-p17	17	pre	1788532150	mysql	Innodb_row_lock_waits	0
r1-p17	17	pre	1788532150	mysql	Threads_connected	18
r1-p17	17	pre	1788532150	mysql	Threads_running	2
