ts	commit	ncpu	physical	python	model	axis	rate	unit	sec	note
2026-09-13T16:18:08Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	cpu	18473625.8	iter/s	0.1624	
2026-09-13T16:18:08Z	838d816	16	8	3.12.14	Intel(R) Xeon(R) Platinum 8488C	infer	71.33	fps	1.402	0.10.21
