DIGEST_TEXT	COUNT_STAR	sum_s	SUM_ROWS_EXAMINED
SELECT * FROM `outbox_events` WHERE STATUS = ? AND `lock_expires_at` <= ? ORDER BY `id` LIMIT ? FOR UPDATE SKIP LOCKED	1283	0.424363369	0
UPDATE `exercise_sessions` SET `ai_instance_endpoint` = ? , `avg_sync_rate` = ? , `calories_burned` = ? , `difficulty_level` = ? , `end_time` = ? , `exercise_id` = ? , `last_active_at` = ? , `max_sync_rate` = ? , `member_id` = ? , `min_sync_rate` = ? , `reference_source` = ? , `session_nonce` = ? , `start_time` = ? , STATUS = ? , `total_reps` = ? , `version` = ? WHERE `id` = ? AND `version` = ?	1456	0.370313072	1456
SELECT * FROM `outbox_events` WHERE STATUS = ? AND ( `next_retry_at` IS NULL OR `next_retry_at` <= ? ) ORDER BY `id` LIMIT ? FOR UPDATE SKIP LOCKED	1283	0.278924717	1647
INSERT INTO `reports` ( `comparison_with_previous` , `created_at` , `detailed_analysis` , `improvement_tips` , `member_id` , `report_type` , `session_id` , `summary` , `updated_at` ) VALUES (...)	680	0.267499094	0
INSERT INTO `exercise_sessions` ( `ai_instance_endpoint` , `avg_sync_rate` , `calories_burned` , `created_at` , `difficulty_level` , `end_time` , `exercise_id` , `last_active_at` , `max_sync_rate` , `member_id` , `min_sync_rate` , `reference_source` , `session_nonce` , `start_time` , STATUS , `total_reps` , `version` ) VALUES (...)	728	0.258627001	0
SELECT `s1_0` . `id` , `s1_0` . `ai_instance_endpoint` , `s1_0` . `avg_sync_rate` , `s1_0` . `calories_burned` , `s1_0` . `created_at` , `s1_0` . `difficulty_level` , `s1_0` . `end_time` , `s1_0` . `exercise_id` , `s1_0` . `last_active_at` , `s1_0` . `max_sync_rate` , `s1_0` . `member_id` , `s1_0` . `min_sync_rate` , `s1_0` . `reference_source` , `s1_0` . `session_nonce` , `s1_0` . `start_time` , `s1_0` . `status` , `s1_0` . `total_reps` , `s1_0` . `version` FROM `exercise_sessions` `s1_0` WHERE `s1_0` . `id` = ?	1456	0.235476052	1456
INSERT INTO `outbox_events` ( `aggregate_id` , `aggregate_type` , `correlation_id` , `created_at` , `event_type` , `lock_expires_at` , `locked_by` , `next_retry_at` , `payload` , `retry_count` , `sent_at` , STATUS ) VALUES (...)	727	0.187205437	0
UPDATE `outbox_events` `oe1_0` SET STATUS = ? , `sent_at` = ? , `locked_by` = ? , `lock_expires_at` = ? WHERE `oe1_0` . `id` = ? AND `oe1_0` . `locked_by` = ? AND `oe1_0` . `status` = ?	680	0.17686709	680
SELECT `s1_0` . `id` FROM `exercise_sessions` `s1_0` LEFT JOIN `users` `m1_0` ON `m1_0` . `id` = `s1_0` . `member_id` WHERE `m1_0` . `id` = ? AND `s1_0` . `status` = ? LIMIT ?	741	0.169225149	14
SELECT COUNT ( `oe1_0` . `id` ) FROM `outbox_events` `oe1_0` WHERE `oe1_0` . `status` = ?	465	0.14700022	544
