DIGEST_TEXT	COUNT_STAR	sum_s	SUM_ROWS_EXAMINED
CREATE TABLE IF NOT EXISTS `pose_data` ( `id` INT8 AUTO_INCREMENT , `session_id` INT8 NOT NULL , `rep_number` INTEGER NOT NULL DEFAULT ? , `timestamp_sec` DECIMAL (...) NOT NULL , `joint_coordinates` JSON NOT NULL , `sync_rate` DECIMAL (...) NOT NULL , `smoothed_knee_angle` DECIMAL (...) NOT NULL DEFAULT ? , `feedback_message` VARCHARACTER (?) , `created_at` TIMESTAMP DEFAULT NOW , PRIMARY KEY ( `id` , `created_at` ) , INDEX `idx_session_timestamp` ( `session_id` , `timestamp_sec` ) ) PARTITION BY RANGE ( `UNIX_TIMESTAMP` ( `created_at` ) ) ( PARTITION `p2026_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_02` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_03` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_04` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_05` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_06` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_07` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_08` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_09` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_10` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_11` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2026_12` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `p2027_01` VALUES LESS THAN ( `UNIX_TIMESTAMP` (?) ) , PARTITION `pfuture` VALUES LESS THAN MAXVALUE )	1	0.138281919	0
SELECT * FROM `outbox_events` WHERE STATUS = ? AND ( `next_retry_at` IS NULL OR `next_retry_at` <= ? ) ORDER BY `id` LIMIT ? FOR UPDATE SKIP LOCKED	565	0.111995586	114
ALTER TABLE `exercise_sessions` ADD COLUMN `ai_instance_endpoint` VARCHARACTER (?) NULL COMMENT ?	1	0.081475293	0
ALTER TABLE `pose_data` ADD UNIQUE KEY `uk_pose_event` ( `session_id` , `rep_number` , `timestamp_sec` , `created_at` )	1	0.066420953	0
SELECT COUNT ( `oe1_0` . `id` ) FROM `outbox_events` `oe1_0` WHERE `oe1_0` . `status` = ?	130	0.042867785	19
CREATE TABLE `group_invitations` ( `id` INT8 AUTO_INCREMENT PRIMARY KEY , `group_id` INT8 NOT NULL , `inviter_id` INT8 NOT NULL , `invitee_id` INT8 NOT NULL , STATUS VARCHARACTER (?) NOT NULL , `created_at` DATETIME NOT NULL DEFAULT NOW , `responded_at` DATETIME NULL , CONSTRAINT `fk_group_invitations_group` FOREIGN KEY ( `group_id` ) REFERENCES `workout_groups` ( `id` ) ON DELETE CASCADE , CONSTRAINT `fk_group_invitations_inviter` FOREIGN KEY ( `inviter_id` ) REFERENCES `users` ( `id` ) ON DELETE CASCADE , CONSTRAINT `fk_group_invitations_invitee` FOREIGN KEY ( `invitee_id` ) REFERENCES `users` ( `id` ) ON DELETE CASCADE )	1	0.039995303	0
CREATE TABLE `group_events` ( `id` INT8 AUTO_INCREMENT PRIMARY KEY , `group_id` INT8 NOT NULL , `seq` INT8 NOT NULL , `event_type` VARCHARACTER (?) NOT NULL , `sender_id` INT8 NULL , `payload` TEXT NOT NULL , `created_at` DATETIME NOT NULL DEFAULT NOW , UNIQUE KEY `uk_group_events_group_seq` ( `group_id` , `seq` ) , CONSTRAINT `fk_group_events_group` FOREIGN KEY ( `group_id` ) REFERENCES `workout_groups` ( `id` ) ON DELETE CASCADE , CONSTRAINT `fk_group_events_sender` FOREIGN KEY ( `sender_id` ) REFERENCES `users` ( `id` ) ON DELETE SET NULL )	1	0.039077273	0
CREATE TABLE `trainer_assignments` ( `id` INT8 AUTO_INCREMENT PRIMARY KEY , `trainer_id` INT8 NOT NULL , `user_id` INT8 NOT NULL , `created_at` DATETIME NOT NULL DEFAULT NOW , UNIQUE KEY `uk_trainer_assignments_user` ( `user_id` ) , CONSTRAINT `fk_trainer_assignments_trainer` FOREIGN KEY ( `trainer_id` ) REFERENCES `users` ( `id` ) ON DELETE CASCADE , CONSTRAINT `fk_trainer_assignments_user` FOREIGN KEY ( `user_id` ) REFERENCES `users` ( `id` ) ON DELETE CASCADE )	1	0.037129086	0
ALTER TABLE `exercises` ADD CONSTRAINT `fk_exercises_category` FOREIGN KEY ( `category_id` ) REFERENCES `categories` ( `id` )	1	0.037105594	0
ALTER TABLE `exercise_sessions` ADD COLUMN `session_nonce` VARCHARACTER (?) NULL COMMENT ?	1	0.034233426	0
