t_rel	session_idx	ms	outcome
0.01	7	147.22	ok
0.007	4	150.43	ok
0.056	21	101.97	ok
0.032	14	128.07	ok
0.02	11	140.12	ok
0.022	12	138.01	ok
0.057	22	111.27	ok
0.058	23	111.62	ok
0.025	13	149.93	ok
0.06	25	120.19	ok
0.007	3	177.29	ok
0.036	15	161.2	ok
0.056	20	158.75	ok
0.006	1	227.18	ok
0.06	26	174.99	ok
0.045	16	197.59	ok
0.048	17	196.66	ok
0.061	27	185.7	ok
0.006	2	253.98	ok
0.059	24	201.55	ok
0.011	8	250.13	ok
0.009	6	252.04	ok
0.053	18	208.48	ok
0.014	9	251.23	ok
0.008	5	257.4	ok
0.004	0	269.3	ok
0.062	28	212.26	ok
0.017	10	259.4	ok
0.055	19	221.52	ok
0.062	29	219.03	ok
0.063	32	220.62	ok
0.063	30	228.58	ok
0.064	34	227.67	ok
0.064	36	246.33	ok
0.063	31	250.04	ok
0.064	33	249.91	ok
0.065	40	249.33	ok
0.064	35	250.76	ok
0.065	38	257.82	ok
0.065	37	258.34	ok
0.065	39	258.01	ok
0.066	43	260.34	ok
0.066	42	264.61	ok
0.067	44	268.59	ok
0.067	45	268.5	ok
0.066	41	269.76	ok
0.067	46	281.86	ok
0.067	47	282.08	ok
0.068	48	283.9	ok
0.069	52	287.61	ok
0.068	50	294.36	ok
0.068	49	294.75	ok
0.068	51	295.71	ok
0.069	53	295.39	ok
0.07	58	296.15	ok
0.069	54	298.52	ok
0.07	57	301.82	ok
0.07	56	302.26	ok
0.07	55	320.97	ok
0.095	146	302.31	ok
0.071	59	346.23	ok
0.072	60	345.95	ok
0.08	94	342.14	ok
0.073	65	350.04	ok
0.089	118	343.43	ok
0.096	156	336.86	ok
0.095	145	338.8	ok
0.077	87	356.6	ok
0.097	159	342.69	ok
0.096	152	353.92	ok
0.092	125	364.78	ok
0.096	155	360.87	ok
0.083	102	376.14	ok
0.087	113	376.98	ok
0.096	151	382.88	ok
0.086	109	405.15	ok
0.094	141	402.85	ok
0.095	144	402.87	ok
0.081	95	417.06	ok
0.082	100	416.0	ok
0.083	101	416.23	ok
0.086	111	413.32	ok
0.095	147	405.3	ok
0.094	142	413.43	ok
0.094	140	414.33	ok
0.091	120	421.41	ok
0.096	158	418.44	ok
0.083	103	432.04	ok
0.092	128	424.1	ok
0.092	127	444.76	ok
0.093	134	444.36	ok
0.089	117	461.99	ok
0.096	154	455.08	ok
0.085	107	466.1	ok
0.093	132	459.0	ok
0.093	135	468.07	ok
0.095	149	466.57	ok
0.087	112	475.75	ok
0.091	122	475.84	ok
0.081	96	488.61	ok
0.096	157	476.46	ok
0.087	114	486.01	ok
0.093	136	485.18	ok
0.094	139	485.35	ok
0.085	105	497.83	ok
0.094	143	496.6	ok
0.086	110	505.61	ok
0.079	91	517.06	ok
0.092	126	510.21	ok
0.094	137	509.04	ok
0.095	150	523.91	ok
0.082	99	537.73	ok
0.093	133	527.39	ok
0.091	123	529.62	ok
0.074	70	547.43	ok
0.079	92	542.06	ok
0.088	115	534.59	ok
0.095	148	533.14	ok
0.088	116	550.54	ok
0.092	129	550.56	ok
0.084	104	573.76	ok
0.092	130	568.08	ok
0.096	153	565.22	ok
0.072	61	589.69	ok
0.09	119	571.69	ok
0.091	121	571.88	ok
0.091	124	571.84	ok
0.078	90	585.56	ok
0.078	89	608.03	ok
0.093	131	601.95	ok
0.08	93	618.67	ok
0.094	138	611.61	ok
0.086	108	620.27	ok
0.077	88	628.8	ok
0.085	106	621.93	ok
0.082	98	627.09	ok
0.076	81	634.36	ok
0.072	64	641.42	ok
0.075	77	641.26	ok
0.075	75	642.0	ok
0.082	97	635.97	ok
0.074	72	643.65	ok
0.075	73	648.82	ok
0.077	86	654.12	ok
0.073	66	659.06	ok
0.077	82	656.05	ok
0.076	80	657.11	ok
0.073	69	675.31	ok
0.072	63	684.05	ok
0.074	71	686.85	ok
0.075	76	686.11	ok
0.077	83	686.85	ok
0.077	84	690.89	ok
0.072	62	704.51	ok
0.339	1	439.97	ok
0.076	78	704.97	ok
0.077	85	707.74	ok
0.073	68	711.77	ok
0.075	74	711.23	ok
0.34	2	448.53	ok
0.076	79	712.69	ok
0.341	5	451.16	ok
0.341	4	452.14	ok
0.34	3	453.03	ok
0.338	0	456.1	ok
0.073	67	721.0	ok
0.343	6	455.47	ok
0.347	9	451.14	ok
0.343	7	455.45	ok
0.344	8	461.02	ok
0.353	11	458.56	ok
0.355	12	459.55	ok
0.352	10	465.5	ok
0.358	13	464.01	ok
0.365	14	462.59	ok
0.382	17	446.68	ok
0.369	15	461.96	ok
0.378	16	457.92	ok
0.39	21	455.14	ok
