tag	pool	phase	epoch	source	metric	value
r1-p15_post	15	post	1788689731	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p15_post	15	post	1788689731	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15009
r1-p15_post	15	post	1788689731	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	60.626
r1-p15_post	15	post	1788689731	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.121
r1-p15_post	15	post	1788689731	mysql	Innodb_row_lock_time	0
r1-p15_post	15	post	1788689731	mysql	Innodb_row_lock_waits	0
r1-p15_post	15	post	1788689731	mysql	Threads_connected	16
r1-p15_post	15	post	1788689731	mysql	Threads_running	2
r1-p17	17	pre	1788689747	spring	hikaricp_connections{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788689747	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p17	17	pre	1788689747	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	7.06786E-4
r1-p17	17	pre	1788689747	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	6.31436E-4
r1-p17	17	pre	1788689747	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788689747	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p17	17	pre	1788689747	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788689747	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788689747	spring	hikaricp_connections_idle{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788689747	spring	hikaricp_connections_max{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788689747	spring	hikaricp_connections_min{pool="HikariPool-1"}	17.0
r1-p17	17	pre	1788689747	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788689747	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p17	17	pre	1788689747	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p17	17	pre	1788689747	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.017
r1-p17	17	pre	1788689747	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.01
r1-p17	17	pre	1788689747	mysql	Innodb_row_lock_time	0
r1-p17	17	pre	1788689747	mysql	Innodb_row_lock_waits	0
r1-p17	17	pre	1788689747	mysql	Threads_connected	18
r1-p17	17	pre	1788689747	mysql	Threads_running	2
r1-p17_post	17	post	1788689757	spring	hikaricp_connections{pool="HikariPool-1"}	17.0
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15011
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	11.985722647
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.057762278
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_idle{pool="HikariPool-1"}	17.0
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_max{pool="HikariPool-1"}	17.0
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_min{pool="HikariPool-1"}	17.0
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15011
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	66.973
r1-p17_post	17	post	1788689757	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.136
r1-p17_post	17	post	1788689757	mysql	Innodb_row_lock_time	0
r1-p17_post	17	post	1788689757	mysql	Innodb_row_lock_waits	0
r1-p17_post	17	post	1788689757	mysql	Threads_connected	18
r1-p17_post	17	post	1788689757	mysql	Threads_running	2
r1-p20	20	pre	1788689773	spring	hikaricp_connections{pool="HikariPool-1"}	20.0
r1-p20	20	pre	1788689773	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r1-p20	20	pre	1788689773	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	7.30052E-4
r1-p20	20	pre	1788689773	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	6.62739E-4
r1-p20	20	pre	1788689773	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p20	20	pre	1788689773	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p20	20	pre	1788689773	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p20	20	pre	1788689773	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p20	20	pre	1788689773	spring	hikaricp_connections_idle{pool="HikariPool-1"}	20.0
r1-p20	20	pre	1788689773	spring	hikaricp_connections_max{pool="HikariPool-1"}	20.0
r1-p20	20	pre	1788689773	spring	hikaricp_connections_min{pool="HikariPool-1"}	20.0
r1-p20	20	pre	1788689773	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p20	20	pre	1788689773	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p20	20	pre	1788689773	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r1-p20	20	pre	1788689773	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.015
r1-p20	20	pre	1788689773	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.01
r1-p20	20	pre	1788689773	mysql	Innodb_row_lock_time	0
r1-p20	20	pre	1788689773	mysql	Innodb_row_lock_waits	0
r1-p20	20	pre	1788689773	mysql	Threads_connected	21
r1-p20	20	pre	1788689773	mysql	Threads_running	2
r1-p20_post	20	post	1788689783	spring	hikaricp_connections{pool="HikariPool-1"}	20.0
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15009
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	4.868964577
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.065492016
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_idle{pool="HikariPool-1"}	20.0
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_max{pool="HikariPool-1"}	20.0
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_min{pool="HikariPool-1"}	20.0
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15009
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	71.143
r1-p20_post	20	post	1788689783	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.16
r1-p20_post	20	post	1788689783	mysql	Innodb_row_lock_time	0
r1-p20_post	20	post	1788689783	mysql	Innodb_row_lock_waits	0
r1-p20_post	20	post	1788689783	mysql	Threads_connected	21
r1-p20_post	20	post	1788689783	mysql	Threads_running	2
r2-p15	15	pre	1788689799	spring	hikaricp_connections{pool="HikariPool-1"}	15.0
r2-p15	15	pre	1788689799	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r2-p15	15	pre	1788689799	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	6.89002E-4
r2-p15	15	pre	1788689799	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	6.06805E-4
r2-p15	15	pre	1788689799	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r2-p15	15	pre	1788689799	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r2-p15	15	pre	1788689799	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r2-p15	15	pre	1788689799	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r2-p15	15	pre	1788689799	spring	hikaricp_connections_idle{pool="HikariPool-1"}	15.0
r2-p15	15	pre	1788689799	spring	hikaricp_connections_max{pool="HikariPool-1"}	15.0
r2-p15	15	pre	1788689799	spring	hikaricp_connections_min{pool="HikariPool-1"}	15.0
r2-p15	15	pre	1788689799	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r2-p15	15	pre	1788689799	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r2-p15	15	pre	1788689799	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r2-p15	15	pre	1788689799	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.014
r2-p15	15	pre	1788689799	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.01
r2-p15	15	pre	1788689799	mysql	Innodb_row_lock_time	0
r2-p15	15	pre	1788689799	mysql	Innodb_row_lock_waits	0
r2-p15	15	pre	1788689799	mysql	Threads_connected	16
r2-p15	15	pre	1788689799	mysql	Threads_running	2
r2-p15_post	15	post	1788689809	spring	hikaricp_connections{pool="HikariPool-1"}	15.0
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	15011
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	9.388547313
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	0.049563448
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_idle{pool="HikariPool-1"}	15.0
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_max{pool="HikariPool-1"}	15.0
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_min{pool="HikariPool-1"}	15.0
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	15011
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	62.605
r2-p15_post	15	post	1788689809	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.096
r2-p15_post	15	post	1788689809	mysql	Innodb_row_lock_time	0
r2-p15_post	15	post	1788689809	mysql	Innodb_row_lock_waits	0
r2-p15_post	15	post	1788689809	mysql	Threads_connected	16
r2-p15_post	15	post	1788689809	mysql	Threads_running	2
r2-p17	17	pre	1788689825	spring	hikaricp_connections{pool="HikariPool-1"}	17.0
r2-p17	17	pre	1788689825	spring	hikaricp_connections_acquire_seconds_count{pool="HikariPool-1"}	6
r2-p17	17	pre	1788689825	spring	hikaricp_connections_acquire_seconds_sum{pool="HikariPool-1"}	7.4295E-4
r2-p17	17	pre	1788689825	spring	hikaricp_connections_acquire_seconds_max{pool="HikariPool-1"}	6.71678E-4
r2-p17	17	pre	1788689825	spring	hikaricp_connections_active{pool="HikariPool-1"}	0.0
r2-p17	17	pre	1788689825	spring	hikaricp_connections_creation_seconds_count{pool="HikariPool-1"}	0
r2-p17	17	pre	1788689825	spring	hikaricp_connections_creation_seconds_sum{pool="HikariPool-1"}	0.0
r2-p17	17	pre	1788689825	spring	hikaricp_connections_creation_seconds_max{pool="HikariPool-1"}	0.0
r2-p17	17	pre	1788689825	spring	hikaricp_connections_idle{pool="HikariPool-1"}	17.0
r2-p17	17	pre	1788689825	spring	hikaricp_connections_max{pool="HikariPool-1"}	17.0
r2-p17	17	pre	1788689825	spring	hikaricp_connections_min{pool="HikariPool-1"}	17.0
r2-p17	17	pre	1788689825	spring	hikaricp_connections_pending{pool="HikariPool-1"}	0.0
r2-p17	17	pre	1788689825	spring	hikaricp_connections_timeout_total{pool="HikariPool-1"}	0.0
r2-p17	17	pre	1788689825	spring	hikaricp_connections_usage_seconds_count{pool="HikariPool-1"}	6
r2-p17	17	pre	1788689825	spring	hikaricp_connections_usage_seconds_sum{pool="HikariPool-1"}	0.016
r2-p17	17	pre	1788689825	spring	hikaricp_connections_usage_seconds_max{pool="HikariPool-1"}	0.011
r2-p17	17	pre	1788689825	mysql	Innodb_row_lock_time	0
r2-p17	17	pre	1788689825	mysql	Innodb_row_lock_waits	0
r2-p17	17	pre	1788689825	mysql	Threads_connected	18
r2-p17	17	pre	1788689825	mysql	Threads_running	2
