t_rel	session_idx	ms	outcome
0.01	7	134.99	ok
0.007	5	140.21	ok
0.026	13	120.73	ok
0.004	3	143.44	ok
0.025	12	122.89	ok
0.022	11	129.79	ok
0.014	8	137.82	ok
0.041	19	113.59	ok
0.015	9	139.67	ok
0.007	6	148.08	ok
0.031	15	133.07	ok
0.017	10	147.03	ok
0.043	20	123.52	ok
0.029	14	177.54	ok
0.044	23	170.36	ok
0.037	17	177.98	ok
0.043	21	187.37	ok
0.032	16	198.63	ok
0.038	18	193.21	ok
0.044	22	190.55	ok
0.003	2	230.88	ok
0.003	1	231.58	ok
0.005	4	232.4	ok
0.046	29	192.72	ok
0.045	25	204.04	ok
0.045	26	211.97	ok
0.002	0	255.44	ok
0.045	24	213.1	ok
0.047	30	213.27	ok
0.046	27	214.67	ok
0.047	31	221.55	ok
0.046	28	223.85	ok
0.048	35	223.75	ok
0.047	32	234.82	ok
0.048	33	235.7	ok
0.048	34	246.02	ok
0.05	38	246.38	ok
0.051	41	245.23	ok
0.049	36	247.68	ok
0.05	39	272.53	ok
0.049	37	273.69	ok
0.051	42	274.27	ok
0.051	40	285.6	ok
0.052	44	292.28	ok
0.053	48	291.52	ok
0.052	47	291.97	ok
0.051	43	293.19	ok
0.053	50	291.6	ok
0.052	45	293.18	ok
0.054	51	296.8	ok
0.054	55	300.75	ok
0.054	54	301.47	ok
0.053	49	304.22	ok
0.052	46	305.56	ok
0.054	52	310.25	ok
0.055	57	308.73	ok
0.054	53	310.36	ok
0.056	58	310.29	ok
0.055	56	311.66	ok
0.077	127	296.87	ok
0.056	59	327.05	ok
0.056	60	327.92	ok
0.065	95	327.72	ok
0.092	141	301.89	ok
0.065	92	328.99	ok
0.061	81	363.7	ok
0.093	150	332.86	ok
0.074	124	353.08	ok
0.056	61	373.58	ok
0.072	113	364.58	ok
0.067	102	370.4	ok
0.094	156	344.19	ok
0.061	80	377.44	ok
0.058	67	383.7	ok
0.059	71	383.44	ok
0.071	106	380.83	ok
0.065	96	389.83	ok
0.062	85	393.96	ok
0.067	101	391.63	ok
0.093	155	365.78	ok
0.066	97	397.06	ok
0.071	109	393.74	ok
0.093	149	406.23	ok
0.062	84	437.92	ok
0.074	121	427.68	ok
0.072	112	430.06	ok
0.094	157	409.09	ok
0.072	111	442.74	ok
0.073	118	442.03	ok
0.074	122	441.99	ok
0.092	144	424.48	ok
0.093	153	423.65	ok
0.073	117	474.04	ok
0.06	76	487.49	ok
0.071	105	477.22	ok
0.093	154	457.56	ok
0.077	126	480.87	ok
0.092	146	471.31	ok
0.093	152	471.16	ok
0.06	74	508.21	ok
0.092	147	475.72	ok
0.072	114	496.33	ok
0.093	151	476.17	ok
0.093	148	477.0	ok
0.091	138	478.76	ok
0.081	128	492.98	ok
0.073	115	501.74	ok
0.094	159	487.31	ok
0.089	129	497.86	ok
0.072	110	517.78	ok
0.061	82	534.93	ok
0.059	73	537.3	ok
0.074	123	528.35	ok
0.092	142	511.86	ok
0.064	88	540.27	ok
0.059	72	547.57	ok
0.065	93	565.03	ok
0.091	140	539.63	ok
0.07	103	565.78	ok
0.066	99	570.39	ok
0.094	158	544.61	ok
0.065	94	575.37	ok
0.071	108	571.61	ok
0.092	145	559.25	ok
0.071	107	580.9	ok
0.061	78	591.93	ok
0.066	98	587.24	ok
0.075	125	582.65	ok
0.074	120	593.89	ok
0.061	83	608.3	ok
0.066	100	604.0	ok
0.073	116	603.53	ok
0.061	79	615.98	ok
0.091	139	587.38	ok
0.092	143	594.86	ok
0.091	137	601.24	ok
0.057	66	637.74	ok
0.09	130	605.99	ok
0.09	131	606.07	ok
0.06	75	636.67	ok
0.064	90	648.55	ok
0.06	77	673.03	ok
0.058	70	678.63	ok
0.058	69	688.06	ok
0.07	104	676.09	ok
0.057	64	696.84	ok
0.058	68	697.76	ok
0.057	62	699.2	ok
0.09	133	665.79	ok
0.091	134	673.04	ok
0.09	132	673.88	ok
0.091	136	673.78	ok
0.064	89	705.13	ok
0.091	135	686.5	ok
0.057	65	721.77	ok
0.336	0	446.15	ok
0.336	1	445.83	ok
0.073	119	709.37	ok
0.063	86	721.71	ok
0.057	63	733.73	ok
0.337	2	454.43	ok
0.065	91	728.36	ok
0.348	8	449.32	ok
0.338	4	459.13	ok
0.064	87	734.29	ok
0.343	7	455.18	ok
0.341	6	458.73	ok
0.337	3	462.56	ok
0.34	5	467.67	ok
0.351	10	457.4	ok
0.349	9	459.54	ok
0.357	11	457.73	ok
0.358	12	456.91	ok
0.363	14	457.49	ok
0.36	13	466.75	ok
0.366	16	463.2	ok
0.364	15	466.96	ok
0.371	18	460.67	ok
0.37	17	469.18	ok
0.377	21	468.77	ok
0.377	19	470.14	ok
0.376	20	473.86	ok
0.377	23	475.55	ok
0.377	22	476.17	ok
0.378	25	475.37	ok
0.379	26	477.69	ok
0.379	24	478.5	ok
0.38	27	482.32	ok
0.38	30	484.93	ok
0.38	29	485.59	ok
0.38	28	486.21	ok
0.381	32	485.64	ok
0.381	33	485.78	ok
0.382	35	492.19	ok
0.381	31	493.79	ok
0.382	34	493.11	ok
0.384	39	501.47	ok
0.383	38	505.49	ok
0.385	43	516.75	ok
0.383	37	522.28	ok
0.384	40	524.6	ok
0.382	36	526.94	ok
0.385	42	524.35	ok
0.386	46	523.37	ok
0.385	41	532.65	ok
0.386	44	535.44	ok
0.389	54	535.96	ok
0.388	50	541.08	ok
0.389	55	540.42	ok
