t_rel	session_idx	ms	outcome
0.045	27	126.98	ok
0.031	17	147.29	ok
0.003	1	175.31	ok
0.004	2	174.96	ok
0.029	16	149.49	ok
0.004	3	174.67	ok
0.049	32	132.24	ok
0.028	15	154.27	ok
0.048	31	135.06	ok
0.05	34	132.75	ok
0.033	18	150.85	ok
0.044	25	140.3	ok
0.009	7	177.68	ok
0.05	33	198.67	ok
0.005	4	248.6	ok
0.047	30	206.69	ok
0.005	5	248.45	ok
0.026	14	227.7	ok
0.002	0	266.86	ok
0.035	19	234.27	ok
0.046	29	223.14	ok
0.053	35	216.49	ok
0.01	8	259.8	ok
0.054	36	221.72	ok
0.042	21	237.41	ok
0.006	6	275.65	ok
0.042	22	256.41	ok
0.012	10	288.95	ok
0.041	20	260.24	ok
0.044	24	257.76	ok
0.055	37	257.03	ok
0.043	23	270.15	ok
0.056	38	262.36	ok
0.013	11	305.3	ok
0.015	12	303.79	ok
0.046	28	272.89	ok
0.021	13	297.99	ok
0.011	9	307.91	ok
0.057	40	271.46	ok
0.057	39	273.89	ok
0.058	42	277.1	ok
0.06	48	281.36	ok
0.059	44	283.84	ok
0.06	46	300.86	ok
0.058	41	303.45	ok
0.058	43	302.64	ok
0.045	26	318.24	ok
0.059	45	327.61	ok
0.06	49	340.61	ok
0.06	47	353.42	ok
0.063	57	350.55	ok
0.064	59	350.82	ok
0.062	53	380.85	ok
0.061	51	436.33	ok
0.063	56	435.26	ok
0.061	50	438.03	ok
0.063	55	438.25	ok
0.062	54	439.39	ok
0.093	107	410.3	ok
0.064	60	440.23	ok
0.075	83	432.78	ok
0.078	94	429.86	ok
0.101	131	407.47	ok
0.097	122	412.61	ok
0.07	77	440.39	ok
0.105	145	405.91	ok
0.115	151	396.64	ok
0.096	118	416.05	ok
0.101	129	412.48	ok
0.1	128	413.16	ok
0.079	95	434.58	ok
0.08	97	434.4	ok
0.078	92	437.17	ok
0.095	114	420.35	ok
0.066	63	450.19	ok
0.061	52	454.78	ok
0.116	153	401.12	ok
0.105	144	411.98	ok
0.1	127	417.71	ok
0.071	79	446.89	ok
0.077	88	441.46	ok
0.104	137	415.23	ok
0.064	58	456.49	ok
0.065	61	456.49	ok
0.098	123	423.76	ok
0.102	133	420.64	ok
0.071	78	451.98	ok
0.106	147	418.38	ok
0.081	99	492.61	ok
0.065	62	527.08	ok
0.077	87	538.76	ok
0.091	104	526.04	ok
0.09	102	527.89	ok
0.105	142	523.69	ok
0.078	91	551.19	ok
0.066	65	563.22	ok
0.097	121	534.47	ok
0.096	117	536.12	ok
0.099	125	533.25	ok
0.102	134	530.68	ok
0.073	81	560.09	ok
0.099	124	535.22	ok
0.069	73	570.05	ok
0.093	109	546.6	ok
0.078	93	564.04	ok
0.092	106	552.18	ok
0.105	143	539.86	ok
0.072	80	574.92	ok
0.096	119	550.97	ok
0.088	100	561.85	ok
0.105	141	545.89	ok
0.066	64	586.16	ok
0.097	120	563.23	ok
0.101	130	563.23	ok
0.105	140	560.41	ok
0.105	146	560.13	ok
0.113	148	575.99	ok
0.099	126	590.34	ok
0.08	98	610.65	ok
0.077	89	623.42	ok
0.077	85	635.45	ok
0.091	103	622.29	ok
0.077	90	635.86	ok
0.119	159	594.66	ok
0.067	68	646.89	ok
0.102	132	612.78	ok
0.095	112	620.24	ok
0.08	96	640.86	ok
0.073	82	647.47	ok
0.094	110	633.35	ok
0.09	101	640.64	ok
0.115	152	619.61	ok
0.095	115	640.07	ok
0.069	71	667.11	ok
0.116	155	626.45	ok
0.114	150	648.52	ok
0.117	157	660.57	ok
0.094	111	706.29	ok
0.118	158	682.99	ok
0.068	69	734.07	ok
0.114	149	690.44	ok
0.092	105	712.39	ok
0.116	156	688.35	ok
0.096	116	709.7	ok
0.067	67	740.25	ok
0.077	86	736.86	ok
0.068	70	745.92	ok
0.07	76	744.73	ok
0.104	139	713.29	ok
0.076	84	745.38	ok
0.116	154	706.01	ok
0.104	136	719.26	ok
0.336	0	488.8	ok
0.102	135	722.54	ok
0.07	74	756.54	ok
0.338	3	488.92	ok
0.069	72	770.64	ok
0.104	138	737.5	ok
0.338	4	504.46	ok
0.339	1	506.11	ok
0.066	66	788.42	ok
0.07	75	785.12	ok
0.093	108	770.53	ok
0.095	113	773.69	ok
0.339	5	529.94	ok
0.338	2	531.16	ok
0.343	7	530.08	ok
0.339	6	534.47	ok
0.343	8	530.85	ok
0.345	9	533.35	ok
0.345	10	537.12	ok
0.347	11	541.02	ok
0.348	12	541.1	ok
0.361	15	528.53	ok
0.354	13	535.81	ok
0.366	18	535.82	ok
0.36	14	542.97	ok
0.374	20	530.34	ok
0.363	16	543.9	ok
0.364	17	545.8	ok
0.376	23	539.95	ok
0.369	19	548.07	ok
0.377	24	542.07	ok
0.375	21	551.73	ok
0.377	22	549.95	ok
0.378	26	549.89	ok
0.379	27	549.69	ok
0.378	25	551.08	ok
0.379	28	553.56	ok
0.38	29	557.27	ok
0.38	30	559.92	ok
0.382	32	561.37	ok
0.384	34	560.24	ok
0.381	31	563.15	ok
0.387	35	559.26	ok
0.383	33	563.91	ok
0.388	36	559.83	ok
0.391	41	556.99	ok
0.39	39	558.52	ok
0.389	38	563.17	ok
0.391	42	561.47	ok
0.389	37	566.53	ok
0.393	45	571.79	ok
0.396	44	568.68	ok
0.39	40	575.3	ok
0.394	48	572.7	ok
0.396	43	575.02	ok
0.401	49	576.29	ok
0.397	46	584.1	ok
0.413	47	577.6	ok
0.414	57	577.17	ok
0.415	59	582.17	ok
0.443	53	556.13	ok
0.498	51	501.57	ok
0.501	55	508.16	ok
0.503	107	509.12	ok
0.499	56	515.45	ok
0.502	54	513.95	ok
0.499	50	518.19	ok
0.505	60	512.83	ok
0.511	77	512.23	ok
0.509	131	514.54	ok
0.508	94	522.1	ok
0.508	83	525.12	ok
0.512	151	523.65	ok
0.514	95	521.9	ok
0.511	145	526.5	ok
0.51	122	530.23	ok
0.516	52	525.72	ok
0.517	153	531.13	ok
0.516	63	532.7	ok
0.518	79	533.01	ok
0.512	118	539.46	ok
0.514	97	537.67	ok
0.517	144	535.52	ok
0.515	92	542.37	ok
0.516	114	547.17	ok
0.513	129	559.38	ok
0.518	127	556.93	ok
0.52	58	562.18	ok
0.522	123	561.48	ok
0.523	133	561.31	ok
0.521	61	562.89	ok
0.514	128	574.59	ok
0.519	88	572.34	ok
0.574	99	517.42	ok
0.524	147	567.7	ok
0.519	137	573.16	ok
0.617	104	478.16	ok
0.523	78	572.71	ok
0.592	62	505.35	ok
0.616	87	482.08	ok
0.629	91	475.34	ok
0.618	102	486.48	ok
0.629	142	479.44	ok
0.632	121	481.29	ok
0.629	65	485.66	ok
0.633	81	482.51	ok
0.632	117	490.77	ok
0.632	125	490.79	ok
0.634	124	491.86	ok
0.64	73	487.83	ok
0.64	109	494.05	ok
0.633	134	503.18	ok
0.642	93	505.46	ok
0.645	106	503.41	ok
0.65	100	502.16	ok
0.647	80	507.67	ok
0.645	143	516.98	ok
0.648	119	514.95	ok
0.666	146	501.72	ok
0.651	141	517.15	ok
0.69	126	478.22	ok
0.652	64	516.31	ok
0.665	140	505.91	ok
0.664	130	519.77	ok
0.689	148	499.68	ok
0.66	120	529.4	ok
0.691	98	501.46	ok
0.712	85	480.73	ok
0.701	89	497.62	ok
0.713	90	487.76	ok
0.727	110	475.5	ok
0.714	132	488.89	ok
0.715	112	488.74	ok
0.714	68	489.88	ok
0.713	103	491.3	ok
0.714	159	490.79	ok
0.721	96	487.83	ok
0.73	101	489.83	ok
0.735	152	485.92	ok
0.721	82	500.88	ok
0.736	71	489.65	ok
0.736	115	490.79	ok
0.802	158	425.72	ok
0.743	155	489.84	ok
0.778	157	457.19	ok
0.763	150	476.1	ok
0.805	105	511.87	ok
0.801	111	516.32	ok
0.804	149	513.23	ok
0.805	156	513.55	ok
0.807	67	511.64	ok
0.814	86	505.19	ok
0.815	70	505.07	ok
0.802	69	517.49	ok
0.805	116	514.62	ok
0.822	154	507.59	ok
0.818	139	519.89	ok
0.823	136	528.25	ok
0.815	76	542.22	ok
0.842	138	516.07	ok
0.822	84	536.69	ok
0.825	0	534.05	ok
0.827	3	532.77	ok
