dataset	target	arm	query	driving	max_q_access	max_q_all	handler	top_ms	nodes(est/act x loops q)
skew_t34_uni	T34	S3	T4.listForceTime.COMPLETED.w1	exercise_sessions(idx_session_starttime_member)	83.0	83.0	84	0.329	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/83x1 q83.0
skew_t34_uni	T34	S3	T4.count.COMPLETED.w1	exercise_sessions(idx_session_status_starttime)	1.0	1.0	68	0.0471	Aggregate 1/1x1 q1.0 ; Filter 67/67x1 q1.0 ; exercise_sessions:idx_session_status_starttime 67/67x1 q1.0
skew_t34_uni	T34	S3	T4.list.COMPLETED.w7	exercise_sessions(idx_session_status_starttime)	26.0	26.0	20	5.33	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 520/20x1 q26.0
skew_t34_uni	T34	S3	T4.listForceTime.COMPLETED.w7	exercise_sessions(idx_session_starttime_member)	83.0	83.0	84	0.353	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/83x1 q83.0
skew_t34_uni	T34	S3	T4.count.COMPLETED.w7	exercise_sessions(idx_session_status_starttime)	1.0	1.0	521	0.609	Aggregate 1/1x1 q1.0 ; Filter 520/520x1 q1.0 ; exercise_sessions:idx_session_status_starttime 520/520x1 q1.0
skew_t34_uni	T34	S3	T4.list.COMPLETED.w30	exercise_sessions(idx_session_status_starttime)	101.4	101.4	20	1.96	Limit 20/20x1 q1.0 ; exercise_sessions:idx_session_status_starttime 2028/20x1 q101.4
skew_t34_uni	T34	S3	T4.listForceTime.COMPLETED.w30	exercise_sessions(idx_session_starttime_member)	83.0	83.0	84	0.317	Limit 0.25/20x1 q20.0 ; Filter 0.25/20x1 q20.0 ; exercise_sessions:idx_session_starttime_member 1/83x1 q83.0
skew_t34_uni	T34	S3	T4.count.COMPLETED.w30	exercise_sessions(idx_session_status_starttime)	1.0	1.0	2029	1.6	Aggregate 1/1x1 q1.0 ; Filter 2028/2028x1 q1.0 ; exercise_sessions:idx_session_status_starttime 2028/2028x1 q1.0
skew_t34_uni	T34	S3	T4.list.COMPLETED.w0	exercise_sessions(idx_session_status_starttime)	2499.8	2499.8	20	9.35	Limit 20/20x1 q1.0 ; Filter 49997/20x1 q2499.8 ; exercise_sessions:idx_session_status_starttime 49997/20x1 q2499.8
skew_t34_uni	T34	S3	T4.listForceTime.COMPLETED.w0	exercise_sessions(idx_session_starttime_member)	4.2	4.2	84	0.288	Limit 5/20x1 q4.0 ; Filter 5/20x1 q4.0 ; exercise_sessions:idx_session_starttime_member 20/83x1 q4.2
