arm	round	sessions	req	rps	detect_pct	p50	p95	p99	nolease	nopose	setup_fail	warm_lo	warm_hi	loader_cpus
C	r3	80	19181	239.82	99.28	26.9	67.8	152.7	0	0	0	1788812455.821	1788812535.803	full
D	r3	90	19360	242.02	92.71	311.7	513.9	651.7	0	0	0	1788812613.499	1788812693.494	full
D	r3	100	19252	240.77	94.89	387.1	606.8	791.0	0	0	0	1788812749.069	1788812829.030	full
D	r3	120	19299	241.28	96.98	471.9	812.8	1035.4	0	0	0	1788812886.737	1788812966.724	full
D	r3	160	19193	239.92	99.45	624.9	1103.9	1317.4	0	0	0	1788813027.807	1788813107.804	full
D	r3	20	4798	60.05	99.98	21.2	29.6	33.3	0	0	0	1788813157.875	1788813237.780	full
D	r3	40	9583	119.91	99.91	22.1	35.2	40.0	0	0	0	1788813289.867	1788813369.785	full
D	r3	60	14387	179.85	99.81	26.9	37.7	96.2	0	0	0	1788813422.430	1788813502.423	full
D	r3	80	19180	239.81	99.49	31.8	83.2	169.3	0	0	0	1788813556.623	1788813636.603	full
A	r3	90	21580	269.81	99.32	30.5	47.5	164.0	0	0	0	1788813736.706	1788813816.689	full
A	r3	100	23972	299.81	98.40	62.2	118.1	248.4	0	0	0	1788813868.180	1788813948.136	full
A	r3	120	28767	359.65	98.14	47.1	144.0	285.2	0	0	0	1788814001.304	1788814081.291	full
A	r3	160	35595	444.97	95.76	295.8	501.6	670.2	0	0	0	1788814137.565	1788814217.560	full
A	r3	20	4790	59.90	100.00	20.7	28.1	32.5	0	0	0	1788814262.183	1788814342.155	full
A	r3	40	9587	119.87	99.94	21.1	31.3	34.9	0	0	0	1788814387.897	1788814467.878	full
A	r3	60	14386	179.85	99.80	23.2	36.4	72.3	0	0	0	1788814515.688	1788814595.675	full
A	r3	80	19190	239.94	99.54	29.2	47.1	142.6	0	0	0	1788814645.142	1788814725.119	full
B	r3	90	21583	269.81	99.40	31.1	46.4	175.5	0	0	0	1788814801.914	1788814881.907	full
