tag	arm	sessions	target_rps	achieved_rps	count	ok	fail	p50_ms	p95_ms	p99_ms	req_expected	req_missing
D_r3_100	D	100	19	19.0	1899	1899	0	3.0	8.5	13.3	1900	1
D_r3_120	D	120	19	19.0	1899	1899	0	2.9	9.9	14.2	1900	1
D_r3_160	D	160	19	19.0	1899	1899	0	3.1	8.9	14.3	1900	1
D_r3_20	D	20	19	19.0	1899	1899	0	2.7	3.8	4.0	1900	1
D_r3_40	D	40	19	19.0	1899	1899	0	2.4	3.6	4.0	1900	1
D_r3_60	D	60	19	19.0	1899	1899	0	2.3	3.6	4.3	1900	1
D_r3_80	D	80	19	19.0	1899	1899	0	2.3	4.0	10.4	1900	1
A_r3_90	A	90	-	-	-	-	-	-	-	-
A_r3_100	A	100	-	-	-	-	-	-	-	-
A_r3_120	A	120	-	-	-	-	-	-	-	-
A_r3_160	A	160	-	-	-	-	-	-	-	-
A_r3_20	A	20	-	-	-	-	-	-	-	-
A_r3_40	A	40	-	-	-	-	-	-	-	-
A_r3_60	A	60	-	-	-	-	-	-	-	-
A_r3_80	A	80	-	-	-	-	-	-	-	-
B_r3_90	B	90	19	19.0	1899	1899	0	2.7	4.0	9.8	1900	1
B_r3_100	B	100	19	19.0	1899	1899	0	2.5	5.7	11.7	1900	1
B_r3_120	B	120	19	19.0	1899	1899	0	2.6	7.2	13.1	1900	1
B_r3_160	B	160	19	19.0	1899	1899	0	2.6	5.1	10.1	1900	1
B_r3_20	B	20	19	19.0	1899	1899	0	2.8	3.8	4.1	1900	1
B_r3_40	B	40	19	19.0	1899	1899	0	2.4	3.7	4.0	1900	1
B_r3_60	B	60	19	19.0	1899	1899	0	2.2	3.5	3.9	1900	1
B_r3_80	B	80	19	18.9	1899	1899	0	2.3	4.1	11.2	1900	1
B_anc4_80	B	80	19	19.0	1899	1899	0	2.2	3.4	4.9	1900	1
B_lc2_t1_120	B	120	19	18.9	1899	1899	0	2.4	7.9	14.6	1900	1
B_lcF_t1_120	B	120	19	19.0	1899	1899	0	2.5	6.7	12.8	1900	1
B_lc2_t1_160	B	160	19	19.0	1899	1899	0	2.6	5.5	9.8	1900	1
B_lcF_t1_160	B	160	19	19.0	1899	1899	0	2.7	4.9	9.1	1900	1
B_lcF_t2_120	B	120	19	19.0	1899	1899	0	2.6	7.7	13.3	1900	1
B_lc2_t2_120	B	120	19	19.0	1899	1899	0	2.6	6.9	13.2	1900	1
B_lcF_t2_160	B	160	19	19.0	1899	1899	0	2.7	5.0	8.7	1900	1
B_lc2_t2_160	B	160	19	19.0	1899	1899	0	2.6	5.2	9.7	1900	1
B_lc2_t3_120	B	120	19	19.0	1899	1899	0	2.6	7.1	13.9	1900	1
B_lcF_t3_120	B	120	19	19.0	1899	1899	0	2.5	7.3	12.4	1900	1
B_lc2_t3_160	B	160	19	19.0	1899	1899	0	2.6	5.0	9.4	1900	1
B_lcF_t3_160	B	160	19	19.0	1899	1899	0	2.6	4.8	9.9	1900	1
