t_rel	session_idx	ms	outcome
0.006	7	126.21	ok
0.003	1	129.58	ok
0.005	5	128.34	ok
0.039	19	95.36	ok
0.002	0	132.82	ok
0.004	2	131.57	ok
0.027	17	116.52	ok
0.004	4	144.54	ok
0.018	13	131.73	ok
0.006	6	143.7	ok
0.042	20	114.46	ok
0.031	18	177.48	ok
0.004	3	208.59	ok
0.009	10	210.32	ok
0.044	21	175.56	ok
0.047	22	172.76	ok
0.048	23	181.68	ok
0.05	26	180.35	ok
0.022	15	208.57	ok
0.02	14	210.61	ok
0.05	27	180.71	ok
0.049	25	182.13	ok
0.008	9	223.22	ok
0.054	37	177.56	ok
0.051	28	180.82	ok
0.007	8	224.51	ok
0.052	30	180.21	ok
0.015	12	217.39	ok
0.01	11	221.92	ok
0.023	16	208.92	ok
0.052	32	182.7	ok
0.054	36	183.29	ok
0.052	31	186.18	ok
0.053	33	187.43	ok
0.049	24	193.34	ok
0.051	29	191.71	ok
0.053	34	189.68	ok
0.054	38	222.32	ok
0.053	35	225.83	ok
0.055	41	240.24	ok
0.056	43	239.32	ok
0.057	45	238.83	ok
0.059	48	237.01	ok
0.055	40	241.38	ok
0.056	42	240.46	ok
0.054	39	241.96	ok
0.058	47	238.21	ok
0.064	56	240.02	ok
0.057	46	246.49	ok
0.062	52	241.86	ok
0.063	55	241.09	ok
0.057	44	248.84	ok
0.059	49	249.77	ok
0.061	50	248.11	ok
0.063	54	251.6	ok
0.062	51	262.26	ok
0.064	57	263.8	ok
0.063	53	278.09	ok
0.066	60	291.17	ok
0.1	117	261.67	ok
0.066	58	295.95	ok
0.066	59	295.69	ok
0.104	137	260.16	ok
0.085	82	278.9	ok
0.087	93	288.21	ok
0.101	127	273.78	ok
0.092	105	284.51	ok
0.104	138	272.4	ok
0.109	155	271.9	ok
0.102	129	301.8	ok
0.086	89	319.1	ok
0.101	125	304.27	ok
0.101	126	304.41	ok
0.087	94	319.66	ok
0.087	98	319.33	ok
0.1	120	323.93	ok
0.087	97	337.25	ok
0.086	87	338.82	ok
0.101	124	324.03	ok
0.102	131	323.13	ok
0.107	147	328.69	ok
0.1	119	336.45	ok
0.087	99	350.4	ok
0.102	128	336.71	ok
0.096	111	348.27	ok
0.109	157	335.2	ok
0.106	143	338.9	ok
0.083	68	362.81	ok
0.101	121	345.46	ok
0.086	88	364.09	ok
0.087	96	363.47	ok
0.09	104	367.78	ok
0.101	122	365.45	ok
0.095	110	389.59	ok
0.105	139	380.95	ok
0.106	144	379.53	ok
0.067	61	420.95	ok
0.104	136	392.77	ok
0.106	142	393.81	ok
0.109	156	390.64	ok
0.086	91	421.44	ok
0.103	134	408.74	ok
0.096	112	422.82	ok
0.088	102	437.47	ok
0.086	90	439.5	ok
0.102	130	426.62	ok
0.1	118	430.98	ok
0.11	159	421.52	ok
0.086	84	451.48	ok
0.103	133	441.56	ok
0.102	132	442.48	ok
0.076	65	469.18	ok
0.088	101	457.94	ok
0.107	146	440.21	ok
0.108	153	438.85	ok
0.109	154	442.63	ok
0.105	140	446.97	ok
0.088	100	465.99	ok
0.107	148	453.56	ok
0.108	152	456.98	ok
0.107	145	459.13	ok
0.086	85	481.87	ok
0.108	149	462.03	ok
0.108	150	463.11	ok
0.108	151	463.7	ok
0.087	92	488.39	ok
0.103	135	479.56	ok
0.101	123	482.83	ok
0.105	141	478.59	ok
0.085	83	503.47	ok
0.11	158	479.97	ok
0.087	95	505.95	ok
0.086	86	508.11	ok
0.094	108	542.3	ok
0.082	67	561.76	ok
0.094	107	550.77	ok
0.098	113	548.52	ok
0.084	72	566.13	ok
0.099	116	551.09	ok
0.085	79	567.1	ok
0.099	115	553.49	ok
0.067	63	585.49	ok
0.084	75	568.84	ok
0.085	77	568.95	ok
0.085	78	571.75	ok
0.083	69	573.86	ok
0.088	103	570.92	ok
0.083	71	578.84	ok
0.085	80	585.78	ok
0.084	76	587.02	ok
0.093	106	580.12	ok
0.085	81	588.83	ok
0.067	62	614.05	ok
0.098	114	583.13	ok
0.094	109	592.95	ok
0.335	0	354.73	ok
0.083	70	607.43	ok
0.084	74	607.46	ok
0.077	66	617.54	ok
0.069	64	631.61	ok
0.336	1	366.01	ok
0.337	2	373.32	ok
0.337	3	373.24	ok
0.338	4	381.04	ok
0.084	73	635.42	ok
0.339	6	380.6	ok
0.339	5	386.47	ok
0.34	7	385.92	ok
0.343	10	383.24	ok
0.353	14	376.89	ok
0.341	8	390.15	ok
0.351	13	383.27	ok
0.344	11	390.83	ok
0.341	9	393.45	ok
0.348	12	388.8	ok
0.36	17	379.41	ok
0.355	15	387.39	ok
0.357	16	386.2	ok
0.375	20	368.0	ok
0.377	21	368.0	ok
0.372	19	374.92	ok
0.365	18	390.79	ok
0.382	23	376.06	ok
0.38	22	377.64	ok
0.383	26	377.88	ok
0.382	25	382.6	ok
0.384	29	380.79	ok
0.384	28	383.12	ok
0.385	27	384.69	ok
0.386	31	393.7	ok
0.385	30	394.49	ok
0.386	33	397.15	ok
0.386	32	398.71	ok
0.387	35	398.27	ok
0.387	37	399.11	ok
0.387	38	399.57	ok
0.387	36	405.0	ok
0.387	34	406.01	ok
0.388	39	407.08	ok
0.388	40	409.77	ok
0.389	41	409.61	ok
0.389	42	411.72	ok
0.39	43	415.51	ok
0.39	44	420.07	ok
0.39	45	421.68	ok
0.391	46	425.23	ok
0.392	47	427.58	ok
0.393	48	428.9	ok
0.392	24	432.32	ok
0.397	54	433.58	ok
0.393	49	442.39	ok
0.398	56	438.07	ok
0.397	53	446.15	ok
0.399	59	444.53	ok
0.397	55	447.22	ok
0.396	52	448.79	ok
0.398	57	455.08	ok
0.399	58	454.74	ok
0.419	82	436.44	ok
0.396	51	460.71	ok
0.4	60	457.96	ok
0.408	50	450.13	ok
0.42	94	446.22	ok
0.42	89	455.75	ok
0.421	93	454.99	ok
0.421	98	457.74	ok
0.425	87	454.01	ok
0.435	127	451.68	ok
0.425	97	462.53	ok
0.434	120	453.71	ok
0.435	126	453.17	ok
0.433	117	457.42	ok
0.425	105	468.42	ok
0.435	125	459.07	ok
0.434	124	460.64	ok
0.436	131	461.52	ok
0.437	137	460.35	ok
0.435	129	465.87	ok
0.437	119	466.39	ok
0.438	138	468.01	ok
0.438	128	470.23	ok
0.438	99	470.98	ok
0.445	157	466.58	ok
0.441	147	470.95	ok
0.444	111	469.93	ok
0.442	155	471.85	ok
0.446	68	472.06	ok
0.445	143	473.17	ok
0.451	96	469.01	ok
0.446	121	475.85	ok
0.45	88	472.05	ok
0.458	104	471.09	ok
0.486	139	445.47	ok
0.466	122	468.51	ok
0.485	110	450.56	ok
0.486	144	450.03	ok
0.488	61	452.59	ok
0.497	136	454.06	ok
0.512	134	438.92	ok
0.508	91	446.39	ok
0.519	112	436.03	ok
0.5	156	456.29	ok
0.5	142	460.84	ok
0.529	130	437.76	ok
0.526	90	441.85	ok
0.526	102	446.59	ok
0.531	118	442.82	ok
0.537	84	437.12	ok
0.545	65	429.59	ok
0.544	133	434.97	ok
0.545	132	442.04	ok
0.531	159	456.02	ok
0.546	101	441.88	ok
0.547	146	446.23	ok
0.551	154	446.62	ok
0.547	153	451.04	ok
0.552	140	446.9	ok
0.561	148	442.36	ok
0.554	100	450.19	ok
0.572	151	437.86	ok
0.566	145	444.19	ok
0.568	85	444.27	ok
0.565	152	451.94	ok
0.571	150	446.53	ok
0.583	135	437.77	ok
0.584	123	443.13	ok
0.575	92	454.29	ok
0.57	149	460.12	ok
0.584	141	450.74	ok
0.59	158	445.49	ok
0.594	86	442.6	ok
0.589	83	447.84	ok
0.644	67	396.57	ok
0.636	108	409.85	ok
0.593	95	455.73	ok
0.645	107	406.11	ok
0.647	113	404.5	ok
0.653	115	411.52	ok
0.65	116	413.96	ok
0.65	72	416.27	ok
0.652	79	416.11	ok
0.654	77	467.51	ok
0.653	63	469.84	ok
0.653	75	469.69	ok
0.657	78	467.05	ok
0.659	103	470.76	ok
0.671	80	459.99	ok
0.657	69	474.34	ok
0.662	71	469.21	ok
0.672	76	463.86	ok
0.674	81	461.61	ok
0.691	70	449.23	ok
0.674	106	466.62	ok
0.692	74	455.27	ok
0.682	114	465.87	ok
0.681	62	466.49	ok
0.687	109	461.07	ok
0.69	0	465.11	ok
0.694	66	464.44	ok
0.702	1	457.19	ok
0.701	64	462.79	ok
0.71	2	459.66	ok
0.72	73	451.45	ok
0.719	4	452.29	ok
0.711	3	461.1	ok
0.72	6	458.95	ok
0.725	5	460.57	ok
