t_rel	session_idx	ms	outcome
0.003	1	135.76	ok
0.031	16	107.65	ok
0.005	4	137.67	ok
0.014	10	128.59	ok
0.006	6	136.33	ok
0.006	5	137.98	ok
0.03	15	114.63	ok
0.008	8	144.61	ok
0.05	19	102.89	ok
0.049	18	103.87	ok
0.004	3	150.37	ok
0.004	2	154.5	ok
0.007	7	151.3	ok
0.04	17	150.23	ok
0.052	21	168.18	ok
0.016	11	204.61	ok
0.028	14	192.28	ok
0.023	12	198.08	ok
0.051	20	170.14	ok
0.053	24	170.45	ok
0.002	0	221.79	ok
0.053	22	181.76	ok
0.011	9	223.8	ok
0.054	25	181.01	ok
0.027	13	210.61	ok
0.053	23	187.52	ok
0.054	26	186.98	ok
0.055	31	185.92	ok
0.055	29	187.79	ok
0.054	27	188.38	ok
0.054	28	189.3	ok
0.055	32	188.47	ok
0.056	33	190.99	ok
0.055	30	194.38	ok
0.056	35	196.41	ok
0.056	34	196.77	ok
0.057	38	196.56	ok
0.056	36	198.49	ok
0.057	40	204.45	ok
0.057	37	205.35	ok
0.058	42	222.11	ok
0.058	41	250.11	ok
0.058	43	251.51	ok
0.057	39	252.55	ok
0.059	46	255.79	ok
0.058	45	256.17	ok
0.059	47	255.97	ok
0.058	44	256.67	ok
0.059	48	263.57	ok
0.059	49	263.51	ok
0.06	51	264.03	ok
0.059	50	264.43	ok
0.062	59	262.11	ok
0.062	58	265.94	ok
0.062	60	272.05	ok
0.06	54	274.14	ok
0.061	56	273.84	ok
0.061	55	279.33	ok
0.06	53	280.31	ok
0.061	57	280.18	ok
0.06	52	282.7	ok
0.082	119	264.33	ok
0.104	150	250.69	ok
0.067	80	289.14	ok
0.077	85	278.93	ok
0.085	138	272.1	ok
0.067	81	322.64	ok
0.066	75	324.3	ok
0.077	84	320.88	ok
0.084	129	320.97	ok
0.084	132	320.83	ok
0.066	77	341.36	ok
0.083	127	338.72	ok
0.084	128	339.17	ok
0.083	120	340.6	ok
0.079	99	344.3	ok
0.083	122	343.44	ok
0.082	115	344.92	ok
0.063	61	364.97	ok
0.085	140	350.72	ok
0.083	124	353.23	ok
0.066	76	371.5	ok
0.103	149	335.05	ok
0.065	69	376.21	ok
0.106	159	335.24	ok
0.085	139	366.02	ok
0.084	130	380.21	ok
0.083	121	406.09	ok
0.08	100	415.55	ok
0.084	133	411.43	ok
0.085	141	410.77	ok
0.066	74	502.73	ok
0.105	152	467.19	ok
0.065	73	507.29	ok
0.064	68	508.51	ok
0.077	86	495.74	ok
0.085	137	490.27	ok
0.064	66	513.89	ok
0.082	116	496.47	ok
0.083	125	495.94	ok
0.104	151	475.14	ok
0.084	134	495.68	ok
0.084	131	499.65	ok
0.067	79	517.35	ok
0.076	82	508.71	ok
0.08	105	504.86	ok
0.065	72	520.48	ok
0.084	135	501.6	ok
0.086	143	500.6	ok
0.106	157	481.1	ok
0.077	83	510.33	ok
0.079	98	508.26	ok
0.105	156	482.39	ok
0.081	108	507.34	ok
0.083	123	505.57	ok
0.105	155	483.77	ok
0.08	102	509.52	ok
0.082	118	507.38	ok
0.085	136	505.43	ok
0.087	147	503.88	ok
0.083	126	507.43	ok
0.106	158	485.74	ok
0.064	67	527.58	ok
0.065	71	527.41	ok
