t_rel	session_idx	ms	outcome
0.04	18	140.27	ok
0.032	16	148.5	ok
0.002	0	180.29	ok
0.061	33	126.23	ok
0.036	17	154.77	ok
0.015	12	184.71	ok
0.062	34	138.16	ok
0.059	28	141.28	ok
0.06	29	154.85	ok
0.061	32	153.8	ok
0.063	36	151.94	ok
0.004	3	210.6	ok
0.062	35	161.57	ok
0.06	31	166.78	ok
0.004	2	228.1	ok
0.007	5	225.62	ok
0.047	20	185.54	ok
0.053	21	189.84	ok
0.005	4	238.17	ok
0.06	30	183.7	ok
0.009	8	234.49	ok
0.003	1	244.66	ok
0.041	19	209.22	ok
0.019	14	231.43	ok
0.056	22	196.87	ok
0.018	13	237.47	ok
0.065	38	191.38	ok
0.064	37	194.2	ok
0.057	24	202.34	ok
0.056	23	203.7	ok
0.065	39	208.77	ok
0.013	10	261.47	ok
0.008	6	270.53	ok
0.011	9	273.36	ok
0.066	40	222.82	ok
0.066	41	222.55	ok
0.067	42	247.16	ok
0.014	11	300.41	ok
0.009	7	314.65	ok
0.058	25	271.3	ok
0.027	15	306.15	ok
0.067	43	266.79	ok
0.067	44	270.73	ok
0.059	27	281.09	ok
0.069	47	278.38	ok
0.068	45	282.51	ok
0.058	26	292.49	ok
0.069	48	281.9	ok
0.068	46	286.22	ok
0.07	50	313.49	ok
0.069	49	313.89	ok
0.07	51	313.55	ok
0.07	52	314.29	ok
0.071	53	324.09	ok
0.073	60	327.98	ok
0.072	56	330.1	ok
0.072	58	329.66	ok
0.071	54	332.38	ok
0.073	59	335.14	ok
0.071	55	337.81	ok
0.074	62	335.58	ok
0.102	147	308.35	ok
0.072	57	338.61	ok
0.092	112	319.39	ok
0.092	110	320.54	ok
0.094	123	319.0	ok
0.098	136	314.63	ok
0.077	75	353.0	ok
0.092	115	342.07	ok
0.074	61	360.87	ok
0.093	118	342.35	ok
0.078	77	358.02	ok
0.115	152	325.05	ok
0.099	138	349.9	ok
0.102	148	347.37	ok
0.094	126	356.22	ok
0.135	158	315.98	ok
0.079	81	372.56	ok
0.1	139	353.71	ok
0.094	124	360.06	ok
0.08	85	386.76	ok
0.095	132	371.58	ok
