t_rel	session_idx	ms	outcome
0.006	5	157.01	ok
0.013	10	150.5	ok
0.009	7	155.01	ok
0.002	0	161.74	ok
0.005	4	159.06	ok
0.048	24	116.38	ok
0.006	6	158.26	ok
0.017	14	149.1	ok
0.034	21	138.88	ok
0.046	23	127.1	ok
0.016	13	158.25	ok
0.012	9	161.92	ok
0.031	20	143.35	ok
0.03	19	152.49	ok
0.005	3	197.14	ok
0.018	15	187.89	ok
0.02	16	191.31	ok
0.051	25	160.55	ok
0.024	18	204.67	ok
0.052	26	176.73	ok
0.022	17	249.81	ok
0.003	1	270.78	ok
0.054	27	220.55	ok
0.037	22	237.83	ok
0.004	2	270.56	ok
0.055	29	222.99	ok
0.015	12	269.53	ok
0.014	11	270.46	ok
0.056	31	229.09	ok
0.055	30	229.62	ok
0.011	8	275.77	ok
0.057	35	233.99	ok
0.057	34	234.39	ok
0.056	32	235.26	ok
0.058	38	235.66	ok
0.055	28	246.88	ok
0.057	33	251.94	ok
0.06	41	250.16	ok
0.059	39	256.32	ok
0.058	37	271.94	ok
0.061	44	278.88	ok
0.059	40	281.27	ok
0.061	46	279.47	ok
0.058	36	283.07	ok
0.061	45	280.15	ok
0.06	43	281.96	ok
0.062	48	280.94	ok
0.06	42	283.07	ok
0.062	47	284.88	ok
0.066	54	294.84	ok
0.062	49	298.96	ok
0.067	56	295.31	ok
0.064	52	307.5	ok
0.063	51	308.11	ok
0.062	50	309.06	ok
0.067	55	308.13	ok
0.067	57	308.54	ok
0.066	53	310.19	ok
0.068	58	308.5	ok
0.069	59	314.98	ok
0.069	60	353.44	ok
0.108	123	314.88	ok
0.102	100	321.42	ok
0.107	120	321.4	ok
0.107	119	322.56	ok
0.126	136	303.27	ok
0.115	130	315.18	ok
0.132	148	299.31	ok
0.131	144	303.18	ok
0.132	147	302.4	ok
0.103	104	332.08	ok
0.099	85	335.69	ok
0.102	99	353.5	ok
0.099	84	356.84	ok
0.104	112	368.34	ok
0.106	117	367.12	ok
0.103	105	371.59	ok
0.103	107	377.24	ok
0.121	132	360.36	ok
0.104	114	377.35	ok
0.134	151	351.98	ok
0.103	106	384.14	ok
0.105	116	392.92	ok
0.102	101	402.61	ok
0.104	111	401.42	ok
0.106	118	402.8	ok
0.098	79	428.34	ok
0.102	98	425.64	ok
0.134	152	393.31	ok
0.127	138	400.94	ok
0.099	81	430.5	ok
0.131	143	398.9	ok
0.112	128	421.15	ok
0.101	97	432.66	ok
0.13	141	408.79	ok
0.131	146	407.61	ok
0.104	115	437.8	ok
0.135	155	412.56	ok
0.076	61	474.45	ok
0.1	93	450.9	ok
0.103	109	456.94	ok
0.1	88	462.16	ok
0.135	154	427.56	ok
0.115	131	451.52	ok
0.099	82	468.24	ok
0.101	95	481.53	ok
0.131	145	454.36	ok
0.11	127	478.09	ok
0.099	83	492.22	ok
0.102	103	494.78	ok
0.104	113	495.13	ok
0.101	94	500.84	ok
0.135	156	466.85	ok
0.108	122	494.82	ok
0.098	80	505.68	ok
0.099	86	510.9	ok
0.1	91	510.6	ok
0.109	125	511.45	ok
0.134	150	492.11	ok
0.095	62	538.53	ok
0.098	78	536.04	ok
0.104	110	532.62	ok
0.1	89	536.81	ok
0.103	108	560.49	ok
0.101	96	579.91	ok
0.114	129	569.4	ok
0.099	87	589.64	ok
0.102	102	587.26	ok
0.121	134	568.66	ok
0.1	92	590.21	ok
0.13	142	560.61	ok
0.108	124	582.79	ok
0.109	126	582.67	ok
0.122	135	570.01	ok
0.135	157	560.27	ok
0.121	133	574.9	ok
0.135	153	562.69	ok
0.136	159	561.63	ok
0.095	63	602.74	ok
0.096	68	603.41	ok
0.133	149	575.04	ok
0.107	121	641.96	ok
0.129	140	621.33	ok
0.136	158	614.64	ok
0.1	90	651.95	ok
0.097	69	660.79	ok
0.128	139	630.71	ok
0.097	74	662.09	ok
0.097	73	662.85	ok
0.096	64	664.79	ok
0.097	70	670.97	ok
0.097	72	677.0	ok
0.098	77	678.73	ok
0.338	3	441.63	ok
0.097	71	683.31	ok
0.338	2	449.67	ok
0.337	1	451.53	ok
0.096	66	692.79	ok
0.098	76	696.54	ok
0.127	137	667.98	ok
0.096	65	699.32	ok
0.339	4	458.07	ok
0.096	67	706.15	ok
0.342	7	460.47	ok
0.34	6	463.36	ok
0.339	5	464.5	ok
0.098	75	719.87	ok
0.344	8	483.92	ok
0.336	0	495.74	ok
0.347	11	484.62	ok
0.347	10	486.28	ok
0.349	13	484.25	ok
0.35	14	483.71	ok
0.346	9	488.53	ok
0.356	17	480.02	ok
0.348	12	487.85	ok
0.354	16	489.18	ok
0.352	15	491.8	ok
0.357	18	488.13	ok
0.37	22	482.85	ok
0.365	20	488.71	ok
0.381	24	474.71	ok
0.379	23	477.6	ok
0.363	19	495.83	ok
0.367	21	491.87	ok
0.385	26	484.07	ok
0.385	25	485.18	ok
0.387	27	485.7	ok
